condition,formal_dp,actual_epsilon,delta,threat_model,attack_model,metric,estimate,ci_low,ci_high,bootstrap_n
non_private,False,,,score_only_black_box,confidence_threshold,mia_auc,0.5013959247880491,0.4943644966773788,0.5084411671475128,1000
non_private,False,,,score_only_black_box,confidence_threshold,mia_advantage,0.005636262602206843,0.002683153501243421,0.0189420163705695,1000
non_private,False,,,score_only_black_box,logistic_regression,mia_auc,0.501777124808777,0.4949262059877497,0.5089140573949186,1000
non_private,False,,,score_only_black_box,logistic_regression,mia_advantage,0.008970389775343368,0.0029625350429185212,0.01974897487807678,1000
non_private,False,,,score_only_black_box,random_forest,mia_auc,0.4951438518449535,0.48825018400020637,0.5015447578716631,1000
non_private,False,,,score_only_black_box,random_forest,mia_advantage,0.0027784393109470534,0.0013422531375084682,0.012294365393296772,1000
non_private,False,,,label_aware_audit,loss_threshold,mia_auc,0.5014386384991358,0.49426899055847767,0.5084872123249896,1000
non_private,False,,,label_aware_audit,loss_threshold,mia_advantage,0.005636262602206843,0.003475770607452,0.018976777424295155,1000
non_private,False,,,label_aware_audit,logistic_regression,mia_auc,0.5014384368410132,0.4948464054862298,0.508629932014052,1000
non_private,False,,,label_aware_audit,logistic_regression,mia_advantage,0.005636262602206843,0.0032240133110442632,0.01929770498253484,1000
non_private,False,,,label_aware_audit,random_forest,mia_auc,0.49674818715176994,0.48966190039525403,0.5034998559761062,1000
non_private,False,,,label_aware_audit,random_forest,mia_advantage,0.00214336746844479,0.0005608530022117483,0.015047335518105474,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,score_only_black_box,confidence_threshold,mia_auc,0.5020088299916093,0.49489358141990053,0.5088954288713027,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,score_only_black_box,confidence_threshold,mia_advantage,0.011113757243788214,0.003238301521483249,0.023842633865105014,1000
dp_eps_8,True,7.99364894672444,1.134031140495118e-05,score_only_black_box,logistic_regression,mia_auc,0.5028193034389409,0.4960491618611018,0.5092906990746413,1000
