condition,subset,threat_model,attack_model,feature_set,n,members,nonmembers,mia_auc,mia_auc_ci_low,mia_auc_ci_high,mia_advantage,mia_advantage_ci_low,mia_advantage_ci_high,mia_balanced_accuracy,mia_precision,mia_recall,tpr_at_1pct_fpr,tpr_at_5pct_fpr,operating_threshold,shadow_calibration_auc,formal_dp,target_epsilon,actual_epsilon,delta
non_private,binary_group=Attack,score_only_black_box,logistic_regression,prob_attack,11726,5863,5863,0.5045752889277598,0.49530801181008094,0.5137104938882707,0.01210984137813409,0.005693362522219405,0.029122043668788553,0.5,0.5,1.0,0.0,0.0,0.49985956900833967,0.5009336124463495,False,,,
non_private,binary_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5026672359980943,0.4932788971024487,0.5120508847358834,0.01678051678051684,0.006204595930734623,0.03239984309916739,0.5037867537867537,0.5080875356803045,0.2378972378972379,0.00891000891000891,0.049005049005049005,0.49985956900833967,0.5009336124463495,False,,,
non_private,family_group=DoS,score_only_black_box,logistic_regression,prob_attack,9186,4593,4593,0.502973575261894,0.49481314740008436,0.5116248116080763,0.007620291748312691,0.00103566368206853,0.023447184608525927,0.5,0.5,1.0,0.0,0.0,0.49985956900833967,0.5009336124463495,False,,,
non_private,family_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5026672359980943,0.49245725659707545,0.5125922047452088,0.01678051678051684,0.0075281068456148235,0.03228507322810031,0.5037867537867537,0.5080875356803045,0.2378972378972379,0.00891000891000891,0.049005049005049005,0.49985956900833967,0.5009336124463495,False,,,
non_private,family_group=Probe,score_only_black_box,logistic_regression,prob_attack,2332,1166,1166,0.5167039827708457,0.49473579893370045,0.5401913472461837,0.036020583190394584,0.020231383479206718,0.07994072125510499,0.5,0.5,1.0,0.0,0.0,0.49985956900833967,0.5009336124463495,False,,,
non_private,family_group=Rare,score_only_black_box,logistic_regression,prob_attack,208,104,104,0.6462185650887574,0.5675679432112418,0.72282929896603,0.24038461538461542,0.1634131928272007,0.38626171212821697,0.5,0.5,1.0,0.08653846153846154,0.18269230769230768,0.49985956900833967,0.5009336124463495,False,,,
non_private,binary_group=Attack,label_aware_audit,loss_threshold,loss,11726,5863,5863,0.5045752889277598,0.49569974534535755,0.5135117895168311,0.01210984137813409,0.006107362212361206,0.029029976494881107,0.5000852805730854,0.5000511404316252,0.8338734436295412,0.0,0.0,-1.4543639e-05,0.49978941001571253,False,,,
non_private,binary_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.49737626215202696,0.48791825940980504,0.5072286627543726,0.00579150579150578,0.0022789584938620404,0.024675594606366123,0.5,0.5,0.43317493317493316,0.0,0.03267003267003267,-1.4543639e-05,0.49978941001571253,False,,,
non_private,family_group=DoS,label_aware_audit,loss_threshold,loss,9186,4593,4593,0.502973575261894,0.49463239158646066,0.5118485321258163,0.007620291748312691,0.0013009036742834517,0.02294714829405484,0.4996734160679295,0.49982716902868995,0.9444807315480078,0.0,0.0,-1.4543639e-05,0.49978941001571253,False,,,
non_private,family_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.49737626215202696,0.4871152110431632,0.5072086492942925,0.00579150579150578,0.0022980330977111995,0.025944308367255507,0.5,0.5,0.43317493317493316,0.0,0.03267003267003267,-1.4543639e-05,0.49978941001571253,False,,,
non_private,family_group=Probe,label_aware_audit,loss_threshold,loss,2332,1166,1166,0.5167039827708457,0.4952565310023664,0.5394391989616116,0.036020583190394584,0.022255564402540697,0.08395546970092843,0.5017152658662093,0.5018214936247724,0.4725557461406518,0.0,0.0,-1.4543639e-05,0.49978941001571253,False,,,
non_private,family_group=Rare,label_aware_audit,loss_threshold,loss,208,104,104,0.6462185650887574,0.5712081517219127,0.7165726288945093,0.24038461538461542,0.16004385307346328,0.3807012992373817,0.5,0.0,0.0,0.08653846153846154,0.18269230769230768,-1.4543639e-05,0.49978941001571253,False,,,
dp_eps_8,binary_group=Attack,score_only_black_box,logistic_regression,prob_attack,11726,5863,5863,0.5086077960262075,0.4987914932495318,0.5182648001490167,0.025754733071806202,0.011753681957703216,0.04424479304143042,0.500767525157769,0.5003877638948729,0.9904485758144295,0.0,0.0,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,binary_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5026273544242061,0.49337878098423443,0.5125403911456557,0.012474012474012475,0.00673963601219855,0.027801519552480388,0.4994802494802495,0.4961748633879781,0.06741906741906742,0.011286011286011286,0.05049005049005049,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,family_group=DoS,score_only_black_box,logistic_regression,prob_attack,9186,4593,4593,0.5089706886950953,0.49888943698111965,0.5188383685187211,0.028957108643588025,0.01456756114748732,0.04791092029041215,0.5001088613106902,0.5000549269471602,0.9910733725234052,0.0,0.0,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,family_group=Normal,score_only_black_box,logistic_regression,prob_attack,13468,6734,6734,0.5026273544242061,0.49246984605205246,0.5122336856217572,0.012474012474012475,0.0064352907375298,0.02830855619811784,0.4994802494802495,0.4961748633879781,0.06741906741906742,0.011286011286011286,0.05049005049005049,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,family_group=Probe,score_only_black_box,logistic_regression,prob_attack,2332,1166,1166,0.501962405373519,0.47972129341103115,0.5252554742827278,0.023156089193825058,0.010903504923331064,0.06684387851397147,0.5038593481989708,0.5019472090004327,0.9948542024013722,0.0,0.0,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,family_group=Rare,score_only_black_box,logistic_regression,prob_attack,208,104,104,0.5671227810650887,0.49262385531135533,0.641761653229543,0.15384615384615385,0.07472459612775928,0.2961403474116708,0.4951923076923077,0.4973821989528796,0.9134615384615384,0.028846153846153848,0.08653846153846154,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,binary_group=Attack,label_aware_audit,loss_threshold,loss,11726,5863,5863,0.5086077960262075,0.4989019230106676,0.5177291403044234,0.025754733071806202,0.010854108650250225,0.044293236037778794,0.5004264028654273,0.500232450023245,0.9176189663994542,0.0,0.0,-0.0008858789,0.49895824436662656,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,binary_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.4973719509285295,0.4870490147505621,0.50663463690545,0.006534006534006542,0.0029587689529551394,0.024542180116310677,0.5007425007425008,0.5006043026347595,0.6150876150876151,0.011137511137511137,0.0444015444015444,-0.0008858789,0.49895824436662656,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,family_group=DoS,label_aware_audit,loss_threshold,loss,9186,4593,4593,0.5089706886950953,0.4988363858843292,0.5194502306940012,0.028957108643588025,0.015204476148111915,0.048619480118886,0.5015240583496625,0.5007959972708665,0.9588504245591117,0.0,0.0,-0.0008858789,0.49895824436662656,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,family_group=Normal,label_aware_audit,loss_threshold,loss,13468,6734,6734,0.4973719509285295,0.487968919595889,0.5068553122417081,0.006534006534006542,0.0029648097313702826,0.02493634368763072,0.5007425007425008,0.5006043026347595,0.6150876150876151,0.011137511137511137,0.0444015444015444,-0.0008858789,0.49895824436662656,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,family_group=Probe,label_aware_audit,loss_threshold,loss,2332,1166,1166,0.501962405373519,0.47722333600852457,0.5249182535818466,0.023156089193825058,0.012062545291100027,0.06861908687235471,0.4961406518010292,0.49770525242223357,0.8370497427101201,0.0,0.0,-0.0008858789,0.49895824436662656,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_8,family_group=Rare,label_aware_audit,loss_threshold,loss,208,104,104,0.5671227810650887,0.4879503779395296,0.6440644981929387,0.15384615384615385,0.07364866236963515,0.29896566678654035,0.5,0.0,0.0,0.028846153846153848,0.08653846153846154,-0.0008858789,0.49895824436662656,True,8.0,7.99364894672444,1.134031140495118e-05
dp_eps_4,binary_group=Attack,score_only_black_box,random_forest,prob_attack,11726,5863,5863,0.5025692099923639,0.4932996232580952,0.5116008641205183,0.018250042640286512,0.00639816460826508,0.035526754691052084,0.500767525157769,0.5081669691470054,0.047757120927852635,0.012792085962817671,0.050827221558928874,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,binary_group=Normal,score_only_black_box,random_forest,prob_attack,13468,6734,6734,0.5041024654553018,0.4946251203932612,0.5141706842915658,0.013068013068013085,0.006040920501355545,0.028674714855515246,0.4996287496287496,0.4988100904331271,0.15562815562815563,0.008019008019008018,0.04544104544104544,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,family_group=DoS,score_only_black_box,random_forest,prob_attack,9186,4593,4593,0.5019153949707829,0.49166670065338924,0.5117760045629386,0.016546919224907475,0.0053045150632954376,0.033754612246961,0.5,0.5,0.025908991944263007,0.011757021554539516,0.047028086218158065,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,family_group=Normal,score_only_black_box,random_forest,prob_attack,13468,6734,6734,0.5041024654553018,0.4949291264538845,0.5142147330370374,0.013068013068013085,0.006653776696136662,0.02898260084035873,0.4996287496287496,0.4988100904331271,0.15562815562815563,0.008019008019008018,0.04544104544104544,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,family_group=Probe,score_only_black_box,random_forest,prob_attack,2332,1166,1166,0.5058397741615646,0.48399906987550523,0.5293528446891144,0.0317324185248713,0.013601398897555652,0.07219573887884735,0.5042881646655232,0.518796992481203,0.1183533447684391,0.010291595197255575,0.05317324185248713,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,family_group=Rare,score_only_black_box,random_forest,prob_attack,208,104,104,0.5235299556213017,0.44053596407227985,0.6050603736640288,0.15384615384615385,0.06991417757233509,0.26983279846461894,0.4951923076923077,0.48936170212765956,0.22115384615384615,0.0,0.028846153846153848,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,binary_group=Attack,label_aware_audit,random_forest,loss + correctness,11726,5863,5863,0.5046393329944996,0.49545374119713975,0.5135856317010601,0.02012621524816649,0.009411740597311286,0.03654768534941177,0.495650690772642,0.4804297774366846,0.10677127750298482,0.011086474501108648,0.04912161009721985,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,binary_group=Normal,label_aware_audit,random_forest,loss + correctness,13468,6734,6734,0.5005336544911835,0.49074159366600895,0.5102036095887802,0.011880011880011865,0.00283445151002651,0.030520432354522276,0.5048262548262548,0.5072625698324023,0.3370953370953371,0.006534006534006534,0.04425304425304425,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,family_group=DoS,label_aware_audit,random_forest,loss + correctness,9186,4593,4593,0.5015066139941937,0.4917019463204956,0.5109760124899921,0.014369693011103912,0.0078059785667909274,0.03256899433751024,0.49586327019377313,0.4699367088607595,0.06466361854996734,0.009362072719355541,0.0428913564119312,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,family_group=Normal,label_aware_audit,random_forest,loss + correctness,13468,6734,6734,0.5005336544911835,0.490978014396227,0.5102368169608255,0.011880011880011865,0.0029802596745008183,0.029440190773599818,0.5048262548262548,0.5072625698324023,0.3370953370953371,0.006534006534006534,0.04425304425304425,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05
dp_eps_4,family_group=Probe,label_aware_audit,random_forest,loss + correctness,2332,1166,1166,0.5110010179793991,0.4877766113612339,0.5332064136117758,0.03945111492281306,0.013820701749720134,0.07910287881320338,0.49313893653516294,0.48653198653198654,0.2478559176672384,0.012864493996569469,0.06260720411663807,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05
