condition,subset,threat_model,attack_model,feature_set,n,members,nonmembers,mia_auc,mia_auc_ci_low,mia_auc_ci_high,mia_advantage,mia_advantage_ci_low,mia_advantage_ci_high,mia_balanced_accuracy,mia_precision,mia_recall,tpr_at_1pct_fpr,tpr_at_5pct_fpr,operating_threshold,shadow_calibration_auc,formal_dp,target_epsilon,actual_epsilon,delta,noise_multiplier
non_private,overall,score_only_black_box,confidence_threshold,confidence,25194,12597,12597,0.5013959247880491,0.4943644966773788,0.5084411671475128,0.005636262602206843,0.002683153501243421,0.0189420163705695,0.5000396919901564,0.5000320286977131,0.6196713503215051,0.0,0.0,0.99998546,0.4994816978462719,False,,,,
non_private,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.501777124808777,0.4949262059877497,0.5089140573949186,0.008970389775343368,0.0029625350429185212,0.01974897487807678,0.5020242914979758,0.5017138248538208,0.5926014130348496,0.0,0.0,0.49985956900833967,0.5009336124463495,False,,,,
non_private,overall,score_only_black_box,random_forest,prob_attack,25194,12597,12597,0.4951438518449535,0.48825018400020637,0.5015447578716631,0.0027784393109470534,0.0013422531375084682,0.012294365393296772,0.4971818686988966,0.4934706639691006,0.21298721917916966,0.01103437326347543,0.05032944351829801,0.6450300573765316,0.49814598581651875,False,,,,
non_private,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5014386384991358,0.49426899055847767,0.5084872123249896,0.005636262602206843,0.003475770607452,0.018976777424295155,0.5000396919901564,0.5000320286977131,0.6196713503215051,0.0,0.0,-1.4543639e-05,0.49978941001571253,False,,,,
non_private,overall,label_aware_audit,logistic_regression,loss + correctness,25194,12597,12597,0.5014384368410132,0.4948464054862298,0.508629932014052,0.005636262602206843,0.0032240133110442632,0.01929770498253484,0.5000396919901564,0.5000320286977131,0.6196713503215051,0.0,0.0,0.5018095729987685,0.49977742491247756,False,,,,
non_private,overall,label_aware_audit,random_forest,loss + correctness,25194,12597,12597,0.49674818715176994,0.48966190039525403,0.5034998559761062,0.00214336746844479,0.0005608530022117483,0.015047335518105474,0.4997221560689053,0.4882154882154882,0.011510677145352068,0.009605461617845519,0.04667778042391046,0.8539037540613438,0.4965752031894037,False,,,,
dp_eps_8,overall,score_only_black_box,confidence_threshold,confidence,25194,12597,12597,0.5020088299916093,0.49489358141990053,0.5088954288713027,0.011113757243788214,0.003238301521483249,0.023842633865105014,0.5033738191632928,0.5048017173200768,0.35468762403746923,0.0,0.0,0.9999957,0.4985556406779344,True,8.0,7.99364894672444,1.134031140495118e-05,0.560302734375
dp_eps_8,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5028193034389409,0.4960491618611018,0.5092906990746413,0.012145748987854255,0.004590745805286778,0.024208304441614193,0.5000793839803127,0.5000798722044728,0.497023100738271,0.0,0.0,0.4998898396475398,0.5013578359506039,True,8.0,7.99364894672444,1.134031140495118e-05,0.560302734375
dp_eps_8,overall,score_only_black_box,random_forest,prob_attack,25194,12597,12597,0.5000880426759506,0.49329197042558626,0.5069371296027803,0.007620862110026216,0.001677524640923006,0.021508388391060975,0.4988489322854648,0.49237243556023147,0.07430340557275542,0.009605461617845519,0.04937683575454473,0.7176487650728317,0.5000288285211884,True,8.0,7.99364894672444,1.134031140495118e-05,0.560302734375
dp_eps_8,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5020314314558779,0.4949218687014085,0.5085837468937429,0.011113757243788214,0.0031873098127327792,0.023426220989092823,0.5005953798523458,0.5003941352672238,0.7558942605382234,0.0,0.0,-0.0008858789,0.49895824436662656,True,8.0,7.99364894672444,1.134031140495118e-05,0.560302734375
dp_eps_8,overall,label_aware_audit,logistic_regression,loss + correctness,25194,12597,12597,0.5020314314558779,0.49464095534072955,0.5099240057275198,0.011113757243788214,0.00377230991309867,0.0230136660799044,0.5005953798523458,0.5003941352672238,0.7558942605382234,0.0,0.0,0.5004377707589382,0.49895824436662656,True,8.0,7.99364894672444,1.134031140495118e-05,0.560302734375
dp_eps_8,overall,label_aware_audit,random_forest,loss + correctness,25194,12597,12597,0.4997120605591442,0.49245529345298233,0.5066509646437056,0.008891005795030549,0.0018699025661804724,0.020429399684228376,0.5004366118917203,0.5002275642351773,0.9597523219814241,0.009684845598158291,0.048027308089227595,0.23224901910670478,0.49399995611763464,True,8.0,7.99364894672444,1.134031140495118e-05,0.560302734375
dp_eps_4,overall,score_only_black_box,confidence_threshold,confidence,25194,12597,12597,0.5016463652708314,0.4949431249510033,0.5086330883104653,0.012225132968167018,0.0028045560114464715,0.024176830519810566,0.5044455028975152,0.5060606060606061,0.371199491942526,0.0,0.0,0.9999925,0.4977482624971514,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5028840672053674,0.4960046813501511,0.5101362495917817,0.01286020481066924,0.004840795558133028,0.02613562033037513,0.500515995872033,0.5005141998259631,0.502262443438914,0.0,0.0,0.49985580787381517,0.501753946133048,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,overall,score_only_black_box,random_forest,prob_attack,25194,12597,12597,0.5030609465861262,0.49601427880026816,0.510202185389338,0.01254266888941813,0.005715593541725028,0.024731594093806476,0.5001587679606255,0.5007541478129713,0.10542192585536239,0.009287925696594427,0.05072636341986187,0.6580489320797822,0.5027942052038461,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.50166603008869,0.4939076831350602,0.508831406210083,0.012225132968167018,0.003889569926096348,0.02375812781505225,0.5043661189172025,0.5059536696254601,0.37104072398190047,0.0,0.0,-7.5102134e-06,0.49811670044991274,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,overall,label_aware_audit,logistic_regression,loss + correctness,25194,12597,12597,0.50166603008869,0.494649528629854,0.5086196019079819,0.012225132968167018,0.003403620597723435,0.024500300523009343,0.5043661189172025,0.5059536696254601,0.37104072398190047,0.0,0.0,0.5004500829699141,0.49811670044991274,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,overall,label_aware_audit,random_forest,loss + correctness,25194,12597,12597,0.5035969507250079,0.49690527093004516,0.5115131108743155,0.013415892672858698,0.004949357408164052,0.02764709825871214,0.5005556878621894,0.5012114918656975,0.22989600698579027,0.008573469873779471,0.04707470032547432,0.5588558222769949,0.5025996363157601,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_2,overall,score_only_black_box,confidence_threshold,confidence,25194,12597,12597,0.5016036547106528,0.4940641420443254,0.5087106082190275,0.011272525204413797,0.00325088324699655,0.023440474019334332,0.5033341271731364,0.5043677204658902,0.38501230451694846,0.0,0.0,0.9999832,0.49679576185577184,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625
dp_eps_2,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5029159922068966,0.49599576095640313,0.5100713757478378,0.01174882908629038,0.004590214416136715,0.02426482583062481,0.5008732237834405,0.5008639648130694,0.5062316424545527,0.0,0.0,0.49980178014216076,0.5018781072656153,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625
dp_eps_2,overall,score_only_black_box,random_forest,prob_attack,25194,12597,12597,0.4951362644580918,0.488118542447519,0.5019215204178088,0.0034928951337620112,0.0021932220248332903,0.012672001301678453,0.5002778439310948,0.5016595542911333,0.08398825117091371,0.012145748987854251,0.05088513138048742,0.712645603849439,0.4973062440762115,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625
dp_eps_2,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5016083243565534,0.493911662855753,0.5084787963587285,0.011193141224100978,0.0029342648858812007,0.024212985405050097,0.5032547431928237,0.504264614104431,0.38485353655632293,0.0,0.0,-1.6808652e-05,0.49704851394612953,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625
dp_eps_2,overall,label_aware_audit,logistic_regression,loss + correctness,25194,12597,12597,0.5016083243565534,0.49458416191161186,0.5080185135649493,0.011193141224100978,0.003817825979567842,0.023404196533699993,0.5032547431928237,0.504264614104431,0.38485353655632293,0.0,0.0,0.5004034382011459,0.49704851394612953,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625
dp_eps_2,overall,label_aware_audit,random_forest,loss + correctness,25194,12597,12597,0.49335113004075903,0.4863216392579739,0.5002401455996364,0.003254743192823688,0.002102689173272209,0.011002841588986264,0.4990077002460903,0.4970442184913691,0.1668651266174486,0.01182821306660316,0.05048821147892355,0.6149691904224103,0.49427559773875,True,2.0,1.9990375327333947,1.134031140495118e-05,0.88134765625
