reference_condition,comparison_condition,threat_model,subset,metric,n,reference_attack_model,comparison_attack_model,reference_estimate,comparison_estimate,difference_dp_minus_non_private,difference_ci_low,difference_ci_high,supports_measured_reduction,bootstrap_n,target_epsilon,actual_epsilon,delta
non_private,dp_eps_8,score_only_black_box,overall,mia_auc,25194,logistic_regression,logistic_regression,0.501777124808777,0.5028193034389409,0.0010421786301638702,-0.0015812149273499749,0.0038201758174973718,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,overall,mia_advantage,25194,logistic_regression,logistic_regression,0.008970389775343368,0.012145748987854255,0.0031753592125108865,-0.005414462698437703,0.010618719618648404,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,binary_group=Attack,mia_auc,11726,logistic_regression,logistic_regression,0.5045752889277598,0.5086077960262075,0.004032507098447713,-0.0027472539633138253,0.01067007791541987,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,binary_group=Attack,mia_advantage,11726,logistic_regression,logistic_regression,0.01210984137813409,0.025754733071806202,0.013644891693672112,0.00036938700591641904,0.025473720164979313,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,binary_group=Normal,mia_auc,13468,logistic_regression,logistic_regression,0.5026672359980943,0.5026273544242061,-3.988157388812308e-05,-0.008358765008490447,0.007935460171644088,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,binary_group=Normal,mia_advantage,13468,logistic_regression,logistic_regression,0.01678051678051684,0.012474012474012475,-0.004306504306504366,-0.01597988500136343,0.010577513133303334,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,family_group=DoS,mia_auc,9186,logistic_regression,logistic_regression,0.502973575261894,0.5089706886950953,0.0059971134332013065,-0.002306319222702535,0.013544131653541222,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,family_group=DoS,mia_advantage,9186,logistic_regression,logistic_regression,0.007620291748312691,0.028957108643588025,0.021336816895275335,0.005519106169657284,0.035439650172268994,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,family_group=Normal,mia_auc,13468,logistic_regression,logistic_regression,0.5026672359980943,0.5026273544242061,-3.988157388812308e-05,-0.008378202820748554,0.007911098661035105,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,family_group=Normal,mia_advantage,13468,logistic_regression,logistic_regression,0.01678051678051684,0.012474012474012475,-0.004306504306504366,-0.016339872201016778,0.010261423973458935,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,family_group=Probe,mia_auc,2332,logistic_regression,logistic_regression,0.5167039827708457,0.501962405373519,-0.014741577397326733,-0.0306728167365256,0.003030676422520355,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,family_group=Probe,mia_advantage,2332,logistic_regression,logistic_regression,0.036020583190394584,0.023156089193825058,-0.012864493996569526,-0.040532384415714794,0.011268900515158506,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,family_group=Rare,mia_auc,208,logistic_regression,logistic_regression,0.6462185650887574,0.5671227810650887,-0.07909578402366868,-0.13714432266617346,-0.02466159644700363,True,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,score_only_black_box,family_group=Rare,mia_advantage,208,logistic_regression,logistic_regression,0.24038461538461542,0.15384615384615385,-0.08653846153846156,-0.171545713977784,0.0016667643491371333,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,overall,mia_auc,25194,loss_threshold,loss_threshold,0.5014386384991358,0.5020314314558779,0.0005927929567420831,-0.0033464493873218274,0.004763076048440694,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,overall,mia_advantage,25194,loss_threshold,loss_threshold,0.005636262602206843,0.011113757243788214,0.005477494641581371,-0.005130699909455763,0.011156519851971811,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,binary_group=Attack,mia_auc,11726,loss_threshold,loss_threshold,0.5045752889277598,0.5086077960262075,0.004032507098447713,-0.002481195352143939,0.011048040187496774,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,binary_group=Attack,mia_advantage,11726,loss_threshold,loss_threshold,0.01210984137813409,0.025754733071806202,0.013644891693672112,0.0005804625221126877,0.02717124309202011,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,binary_group=Normal,mia_auc,13468,loss_threshold,loss_threshold,0.49737626215202696,0.4973719509285295,-4.311223497477368e-06,-0.008237563007175569,0.00820832249272571,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,binary_group=Normal,mia_advantage,13468,loss_threshold,loss_threshold,0.00579150579150578,0.006534006534006542,0.0007425007425007624,-0.010273343395459085,0.013564389852340035,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=DoS,mia_auc,9186,loss_threshold,loss_threshold,0.502973575261894,0.5089706886950953,0.0059971134332013065,-0.001888289796862011,0.01470527575981468,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=DoS,mia_advantage,9186,loss_threshold,loss_threshold,0.007620291748312691,0.028957108643588025,0.021336816895275335,0.005579551309710654,0.03437348317440952,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=Normal,mia_auc,13468,loss_threshold,loss_threshold,0.49737626215202696,0.4973719509285295,-4.311223497477368e-06,-0.008441932035931292,0.008281618502598866,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=Normal,mia_advantage,13468,loss_threshold,loss_threshold,0.00579150579150578,0.006534006534006542,0.0007425007425007624,-0.011464477401954944,0.012926296366432569,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=Probe,mia_auc,2332,loss_threshold,loss_threshold,0.5167039827708457,0.501962405373519,-0.014741577397326733,-0.032295447461241134,0.0032441359711513043,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=Probe,mia_advantage,2332,loss_threshold,loss_threshold,0.036020583190394584,0.023156089193825058,-0.012864493996569526,-0.040573741881156304,0.012499527289105306,False,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=Rare,mia_auc,208,loss_threshold,loss_threshold,0.6462185650887574,0.5671227810650887,-0.07909578402366868,-0.13462962544259094,-0.02265511447826595,True,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_8,label_aware_audit,family_group=Rare,mia_advantage,208,loss_threshold,loss_threshold,0.24038461538461542,0.15384615384615385,-0.08653846153846156,-0.1777746680049165,-0.006541147836192534,True,1000,8.0,7.99364894672444,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,overall,mia_auc,25194,logistic_regression,random_forest,0.501777124808777,0.5030609465861262,0.0012838217773492033,-0.009119216367970855,0.011828341644003575,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,overall,mia_advantage,25194,logistic_regression,random_forest,0.008970389775343368,0.01254266888941813,0.003572279114074761,-0.00987885648621775,0.015739089851434306,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,binary_group=Attack,mia_auc,11726,logistic_regression,random_forest,0.5045752889277598,0.5025692099923639,-0.0020060789353959496,-0.013234859456365395,0.011284933873129363,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,binary_group=Attack,mia_advantage,11726,logistic_regression,random_forest,0.01210984137813409,0.018250042640286512,0.006140201262152423,-0.010890840964760017,0.0192452375982104,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,binary_group=Normal,mia_auc,13468,logistic_regression,random_forest,0.5026672359980943,0.5041024654553018,0.001435229457207532,-0.012483219045885938,0.015239052290504962,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,binary_group=Normal,mia_advantage,13468,logistic_regression,random_forest,0.01678051678051684,0.013068013068013085,-0.0037125037125037563,-0.01868175835902621,0.01546600453047978,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=DoS,mia_auc,9186,logistic_regression,random_forest,0.502973575261894,0.5019153949707829,-0.0010581802911111549,-0.011918512660175934,0.011053648176244596,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=DoS,mia_advantage,9186,logistic_regression,random_forest,0.007620291748312691,0.016546919224907475,0.008926627476594784,-0.006702133279345276,0.02229324310068512,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=Normal,mia_auc,13468,logistic_regression,random_forest,0.5026672359980943,0.5041024654553018,0.001435229457207532,-0.011714716195200788,0.015552546217645341,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=Normal,mia_advantage,13468,logistic_regression,random_forest,0.01678051678051684,0.013068013068013085,-0.0037125037125037563,-0.01928501138572132,0.016177526151618434,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
non_private,dp_eps_4,score_only_black_box,family_group=Probe,mia_auc,2332,logistic_regression,random_forest,0.5167039827708457,0.5058397741615646,-0.010864208609281167,-0.042404433221557535,0.01858929668496311,False,1000,4.0,3.9982670408726286,1.134031140495118e-05
