condition,shadow_seed,formal_dp,member_rows,nonmember_rows,input_dim,epochs,batch_size,learning_rate,weight_decay,noise_multiplier,max_grad_norm,sample_rate,shadow_actual_epsilon,shadow_delta,training_seconds,shadow_protocol_version,requested_epsilon,requested_delta,target_actual_epsilon,target_noise_multiplier,shadow_noise_multiplier,absolute_epsilon_error
non_private,101,False,12597,12598,116,30,256,0.001,0.0001,,,,,,4.534479856491089,,,,,,,
non_private,202,False,12597,12598,116,30,256,0.001,0.0001,,,,,,5.695627212524414,,,,,,,
non_private,303,False,12597,12598,114,30,256,0.001,0.0001,,,,,,4.4757609367370605,,,,,,,
non_private,404,False,12597,12598,115,30,256,0.001,0.0001,,,,,,4.843674898147583,,,,,,,
non_private,505,False,12597,12598,115,30,256,0.001,0.0001,,,,,,5.094423532485962,,,,,,,
dp_eps_8,101,True,12597,12598,116,30,256,0.001,0.0001,,1.0,0.02,7.995812472846412,1.134031140495118e-05,19.35622787475586,epsilon_delta_matched_v2,8.0,1.134031140495118e-05,7.99364894672444,0.560302734375,0.79254150390625,0.004187527153588277
dp_eps_8,202,True,12597,12598,116,30,256,0.001,0.0001,,1.0,0.02,7.995812472846412,1.134031140495118e-05,22.14122486114502,epsilon_delta_matched_v2,8.0,1.134031140495118e-05,7.99364894672444,0.560302734375,0.79254150390625,0.004187527153588277
dp_eps_8,303,True,12597,12598,114,30,256,0.001,0.0001,,1.0,0.02,7.995812472846412,1.134031140495118e-05,18.718758583068848,epsilon_delta_matched_v2,8.0,1.134031140495118e-05,7.99364894672444,0.560302734375,0.79254150390625,0.004187527153588277
dp_eps_8,404,True,12597,12598,115,30,256,0.001,0.0001,,1.0,0.02,7.995812472846412,1.134031140495118e-05,18.430930852890015,epsilon_delta_matched_v2,8.0,1.134031140495118e-05,7.99364894672444,0.560302734375,0.79254150390625,0.004187527153588277
dp_eps_8,505,True,12597,12598,115,30,256,0.001,0.0001,,1.0,0.02,7.995812472846412,1.134031140495118e-05,19.0919771194458,epsilon_delta_matched_v2,8.0,1.134031140495118e-05,7.99364894672444,0.560302734375,0.79254150390625,0.004187527153588277
dp_eps_4,101,True,12597,12598,116,30,256,0.001,0.0001,,1.0,0.02,3.9956401774911523,1.134031140495118e-05,16.427997589111328,epsilon_delta_matched_v2,4.0,1.134031140495118e-05,3.9982670408726286,0.6817626953125,1.10107421875,0.004359822508847699
dp_eps_4,202,True,12597,12598,116,30,256,0.001,0.0001,,1.0,0.02,3.9956401774911523,1.134031140495118e-05,15.571957349777222,epsilon_delta_matched_v2,4.0,1.134031140495118e-05,3.9982670408726286,0.6817626953125,1.10107421875,0.004359822508847699
dp_eps_4,303,True,12597,12598,114,30,256,0.001,0.0001,,1.0,0.02,3.9956401774911523,1.134031140495118e-05,15.478686809539795,epsilon_delta_matched_v2,4.0,1.134031140495118e-05,3.9982670408726286,0.6817626953125,1.10107421875,0.004359822508847699
dp_eps_4,404,True,12597,12598,115,30,256,0.001,0.0001,,1.0,0.02,3.9956401774911523,1.134031140495118e-05,15.950902938842773,epsilon_delta_matched_v2,4.0,1.134031140495118e-05,3.9982670408726286,0.6817626953125,1.10107421875,0.004359822508847699
dp_eps_4,505,True,12597,12598,115,30,256,0.001,0.0001,,1.0,0.02,3.9956401774911523,1.134031140495118e-05,15.599344968795776,epsilon_delta_matched_v2,4.0,1.134031140495118e-05,3.9982670408726286,0.6817626953125,1.10107421875,0.004359822508847699
dp_eps_2,101,True,12597,12598,116,30,256,0.001,0.0001,,1.0,0.02,1.9993689463180437,1.134031140495118e-05,13.666033506393433,epsilon_delta_matched_v2,2.0,1.134031140495118e-05,1.9990375327333947,0.88134765625,1.728515625,0.0006310536819562618
dp_eps_2,202,True,12597,12598,116,30,256,0.001,0.0001,,1.0,0.02,1.9993689463180437,1.134031140495118e-05,13.72991943359375,epsilon_delta_matched_v2,2.0,1.134031140495118e-05,1.9990375327333947,0.88134765625,1.728515625,0.0006310536819562618
dp_eps_2,303,True,12597,12598,114,30,256,0.001,0.0001,,1.0,0.02,1.9993689463180437,1.134031140495118e-05,13.527103662490845,epsilon_delta_matched_v2,2.0,1.134031140495118e-05,1.9990375327333947,0.88134765625,1.728515625,0.0006310536819562618
dp_eps_2,404,True,12597,12598,115,30,256,0.001,0.0001,,1.0,0.02,1.9993689463180437,1.134031140495118e-05,13.303523540496826,epsilon_delta_matched_v2,2.0,1.134031140495118e-05,1.9990375327333947,0.88134765625,1.728515625,0.0006310536819562618
dp_eps_2,505,True,12597,12598,115,30,256,0.001,0.0001,,1.0,0.02,1.9993689463180437,1.134031140495118e-05,13.31337833404541,epsilon_delta_matched_v2,2.0,1.134031140495118e-05,1.9990375327333947,0.88134765625,1.728515625,0.0006310536819562618
