membership,partition,partition_position,row_id,true_label,binary_group,family_group
0,target_validation,10881,64329,0,Normal,Normal
0,target_validation,6508,78618,0,Normal,Normal
1,target_train,14094,60002,0,Normal,Normal
1,target_train,56646,9170,0,Normal,Normal
1,target_train,80128,114878,1,Attack,DoS
1,target_train,77596,2201,1,Attack,DoS
1,target_train,71242,45005,0,Normal,Normal
1,target_train,67934,11048,0,Normal,Normal
0,target_validation,11757,19042,1,Attack,Probe
0,target_validation,6362,20467,0,Normal,Normal
0,target_validation,4782,7259,1,Attack,DoS
0,target_validation,8620,38527,1,Attack,DoS
1,target_train,59364,46771,0,Normal,Normal
1,target_train,26042,104145,0,Normal,Normal
1,target_train,57607,7511,1,Attack,Probe
0,target_validation,1205,38902,1,Attack,DoS
0,target_validation,12592,125282,0,Normal,Normal
1,target_train,79794,122330,0,Normal,Normal
1,target_train,6528,48450,0,Normal,Normal
0,target_validation,7436,10899,1,Attack,DoS
1,target_train,74659,15475,0,Normal,Normal
1,target_train,34791,92492,0,Normal,Normal
1,target_train,55978,54173,1,Attack,DoS
0,target_validation,9371,6976,0,Normal,Normal
1,target_train,64041,124318,1,Attack,Probe
0,target_validation,6486,55465,1,Attack,DoS
1,target_train,37228,47512,1,Attack,DoS
1,target_train,53928,23818,1,Attack,Probe
1,target_train,6748,63797,0,Normal,Normal
1,target_train,4635,72107,1,Attack,Probe
0,target_validation,7118,110316,0,Normal,Normal
0,target_validation,6808,5202,1,Attack,DoS
1,target_train,23201,114369,1,Attack,DoS
0,target_validation,7993,89873,0,Normal,Normal
1,target_train,40794,44668,0,Normal,Normal
1,target_train,37627,30704,0,Normal,Normal
1,target_train,77117,120773,0,Normal,Normal
1,target_train,18303,59408,0,Normal,Normal
1,target_train,35228,103102,1,Attack,DoS
1,target_train,83981,73049,0,Normal,Normal
1,target_train,62230,23207,0,Normal,Normal
0,target_validation,1590,60065,1,Attack,DoS
0,target_validation,8604,25850,0,Normal,Normal
0,target_validation,9976,23022,0,Normal,Normal
0,target_validation,3969,96427,0,Normal,Normal
1,target_train,82672,12574,0,Normal,Normal
1,target_train,50569,125111,0,Normal,Normal
