condition,seed,run_source_ids,formal_dp_ids,target_epsilon_ids,actual_epsilon_ids,delta_ids,split,threshold_policy,threshold,accuracy,precision,recall,f1,fnr,fpr,roc_auc,pr_auc,tn,fp,fn,tp,subset,threat_model,attack_model,feature_set,n,members,nonmembers,mia_auc,mia_advantage,mia_balanced_accuracy,mia_precision,mia_recall,tpr_at_1pct_fpr,tpr_at_5pct_fpr,operating_threshold,shadow_calibration_auc,analysis_role,run_source_mia,formal_dp_mia,target_epsilon_mia,actual_epsilon_mia,delta_mia,noise_multiplier
non_private,42,accepted_experiment_05,False,,,,KDDTest+,validation_selected_F2,0.29,0.8165365507452094,0.9589445910290236,0.7080183900880542,0.814595660749507,0.2919816099119457,0.0400576665636906,0.9103638879025004,0.935713551393365,9322,389,3747,9086,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5017771153560524,0.0089703897753433,0.5020242914979758,0.5017138248538208,0.5926014130348496,0.0,0.0,0.4998595690083396,0.5009336124463495,primary,accepted_experiment_05,False,,,,
non_private,42,accepted_experiment_05,False,,,,KDDTest+,validation_selected_F2,0.29,0.8165365507452094,0.9589445910290236,0.7080183900880542,0.814595660749507,0.2919816099119457,0.0400576665636906,0.9103638879025004,0.935713551393365,9322,389,3747,9086,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5014386384991358,0.0056362626022068,0.5000396919901564,0.5000320286977131,0.6196713503215051,0.0,0.0,-1.4543639e-05,0.4997894100157125,primary,accepted_experiment_05,False,,,,
dp_eps_4,42,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.8066447835344216,0.9162900373354294,0.7267201745499883,0.8105688583720829,0.2732798254500116,0.0877355576150756,0.83883158045028,0.8977608403572535,8859,852,3507,9326,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5028840672053674,0.0128602048106692,0.500515995872033,0.5005141998259631,0.502262443438914,0.0,0.0,0.4998558078738151,0.501753946133048,primary,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,42,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.8066447835344216,0.9162900373354294,0.7267201745499883,0.8105688583720829,0.2732798254500116,0.0877355576150756,0.83883158045028,0.8977608403572535,8859,852,3507,9326,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.50166603008869,0.012225132968167,0.5043661189172025,0.5059536696254601,0.3710407239819004,0.0,0.0,-7.5102134e-06,0.4981167004499127,primary,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_2,42,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.7853530872959545,0.916875260742595,0.6850307800202603,0.7841755497078632,0.3149692199797397,0.0820718772526001,0.8334451721934482,0.895967351762364,8914,797,4042,8791,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5029159922068966,0.0117488290862903,0.5008732237834405,0.5008639648130694,0.5062316424545527,0.0,0.0,0.4998017801421607,0.5018781072656153,primary,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
dp_eps_2,42,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.7853530872959545,0.916875260742595,0.6850307800202603,0.7841755497078632,0.3149692199797397,0.0820718772526001,0.8334451721934482,0.895967351762364,8914,797,4042,8791,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5016083243565534,0.0111931412241009,0.5032547431928237,0.504264614104431,0.3848535365563229,0.0,0.0,-1.6808652e-05,0.4970485139461295,primary,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
non_private,52,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.14,0.8029630943931867,0.9211926513402268,0.7150315592612795,0.8051241554795121,0.2849684407387204,0.0808361651735145,0.9267642753708892,0.9424039830380524,8926,785,3657,9176,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5047815346496959,0.0134952766531714,0.501031991744066,0.5009714541921985,0.5321902040168294,0.0,0.0,0.4998595690083396,0.5009336124463495,primary,trained_experiment_06,False,,,,
non_private,52,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.14,0.8029630943931867,0.9211926513402268,0.7150315592612795,0.8051241554795121,0.2849684407387204,0.0808361651735145,0.9267642753708892,0.9424039830380524,8926,785,3657,9176,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.502346333217903,0.0118282130666031,0.5011510677145352,0.500930740098851,0.6195125823608796,0.0,0.0,-1.4543639e-05,0.4997894100157125,primary,trained_experiment_06,False,,,,
dp_eps_4,52,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.7991039744499645,0.9158653846153846,0.7125379879996883,0.8015076478064601,0.2874620120003117,0.0864998455359901,0.8183384804886786,0.8888781070769787,8871,840,3689,9144,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.503100569256303,0.0111137572437882,0.5010716837342224,0.5010704940131631,0.5016273715964118,0.0,0.0,0.4998558078738151,0.501753946133048,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,52,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.7991039744499645,0.9158653846153846,0.7125379879996883,0.8015076478064601,0.2874620120003117,0.0864998455359901,0.8183384804886786,0.8888781070769787,8871,840,3689,9144,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5019608385093459,0.0111137572437882,0.5,0.5,0.4391521790902596,0.0,0.0,-7.5102134e-06,0.4981167004499127,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_2,52,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.7981724627395316,0.9162729922605288,0.7103561131457959,0.800280923536125,0.289643886854204,0.0857790134898568,0.8247416815218764,0.892524675841981,8878,833,3717,9116,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5036694121600819,0.0119869810272287,0.5013495276653172,0.5013425999052282,0.5039295070254822,0.0,0.0,0.4998017801421607,0.5018781072656153,primary,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
dp_eps_2,52,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.7981724627395316,0.9162729922605288,0.7103561131457959,0.800280923536125,0.289643886854204,0.0857790134898568,0.8247416815218764,0.892524675841981,8878,833,3717,9116,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5015533693672451,0.0119869810272287,0.4998809240295309,0.4998660355452353,0.4443121378105898,0.0,0.0,-1.6808652e-05,0.4970485139461295,primary,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625
non_private,62,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.24,0.8339247693399574,0.9583459404942009,0.74043481648874,0.8354141023386671,0.25956518351126,0.0425290907218618,0.9263459238091656,0.946620934844928,9298,413,3331,9502,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.5005401790922005,0.0072239422084623,0.499801540049218,0.499829502830253,0.5818051917123125,0.0014289116456299,0.0275462411685321,0.4998595690083396,0.5009336124463495,primary,trained_experiment_06,False,,,,
non_private,62,trained_experiment_06,False,,,,KDDTest+,validation_selected_F2,0.24,0.8339247693399574,0.9583459404942009,0.74043481648874,0.8354141023386671,0.25956518351126,0.0425290907218618,0.9263459238091656,0.946620934844928,9298,413,3331,9502,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5002335705204662,0.00801778201159,0.5000793839803128,0.5000699300699301,0.5676748432166389,0.0,0.0,-1.4543639e-05,0.4997894100157125,primary,trained_experiment_06,False,,,,
dp_eps_4,62,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.8033623136976579,0.9127358490566038,0.7237590586768488,0.8073362597244557,0.2762409413231512,0.0914426938523324,0.8380959796563769,0.8945171843072204,8823,888,3545,9288,overall,score_only_black_box,logistic_regression,prob_attack,25194,12597,12597,0.502695214373581,0.0108756053028498,0.5009129157735969,0.5009091627796664,0.502976899261729,0.0,0.0,0.4998558078738151,0.501753946133048,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
dp_eps_4,62,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.8033623136976579,0.9127358490566038,0.7237590586768488,0.8073362597244557,0.2762409413231512,0.0914426938523324,0.8380959796563769,0.8945171843072204,8823,888,3545,9288,overall,label_aware_audit,loss_threshold,loss,25194,12597,12597,0.5009065320336543,0.0110343732634754,0.5027387473207907,0.5039271485486625,0.3514328808446455,0.0,0.0,-7.5102134e-06,0.4981167004499127,primary,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125
