condition,domain,threat_model,metric,n_seeds,mean,standard_deviation,ci_method,ci_low,ci_high
non_private,IDS,,recall,5,0.7093430998207745,0.0222388342486471,"two-sided t interval, df=4",0.6817299399722084,0.7369562596693405
non_private,IDS,,fnr,5,0.2906569001792254,0.0222388342486471,"two-sided t interval, df=4",0.2630437403306594,0.3182700600277915
non_private,IDS,,f1,5,0.8097495523234578,0.01614275395438,"two-sided t interval, df=4",0.7897056759064426,0.829793428740473
non_private,IDS,,fpr,5,0.056101328390485,0.0227409635275561,"two-sided t interval, df=4",0.0278646926938535,0.0843379640871164
non_private,IDS,,precision,5,0.943955490704032,0.0213329336064304,"two-sided t interval, df=4",0.917467155068856,0.970443826339208
non_private,IDS,,pr_auc,5,0.937504275553237,0.0078812497398245,"two-sided t interval, df=4",0.927718411490444,0.94729013961603
non_private,IDS,,threshold,5,0.206,0.0687749954561976,"two-sided t interval, df=4",0.1206045641654118,0.2913954358345882
non_private,MIA,score_only_black_box,mia_auc,5,0.5022965684045243,0.0016007857913388,"two-sided t interval, df=4",0.5003089303185827,0.5042842064904659
non_private,MIA,score_only_black_box,mia_advantage,5,0.0094149400650948,0.0024829552786812,"two-sided t interval, df=4",0.0063319438864063,0.0124979362437834
non_private,MIA,score_only_black_box,mia_balanced_accuracy,5,0.5003969199015639,0.0011078261282013,"two-sided t interval, df=4",0.4990213720819067,0.501772467721221
non_private,MIA,score_only_black_box,tpr_at_1pct_fpr,5,0.0002857823291259,0.0006390287146939,"two-sided t interval, df=4",-0.0005076766197278,0.0010792412779798
non_private,MIA,score_only_black_box,tpr_at_5pct_fpr,5,0.0055092482337064,0.0123190535554882,"two-sided t interval, df=4",-0.0097868770580874,0.0208053735255002
non_private,MIA,label_aware_audit,mia_auc,5,0.5008819675535988,0.0012805452494967,"two-sided t interval, df=4",0.4992919606192278,0.5024719744879698
non_private,MIA,label_aware_audit,mia_advantage,5,0.0078590140509645,0.0027573794447818,"two-sided t interval, df=4",0.0044352752649918,0.0112827528369372
non_private,MIA,label_aware_audit,mia_balanced_accuracy,5,0.5010161149480036,0.0016579663094515,"two-sided t interval, df=4",0.4989574778713229,0.5030747520246843
non_private,MIA,label_aware_audit,tpr_at_1pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,MIA,label_aware_audit,tpr_at_5pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_4,IDS,,recall,5,0.7133795683004752,0.0137525995488896,"two-sided t interval, df=4",0.6963034605589056,0.7304556760420449
dp_eps_4,IDS,,fnr,5,0.2866204316995246,0.0137525995488897,"two-sided t interval, df=4",0.2695443239579549,0.3036965394410943
dp_eps_4,IDS,,f1,5,0.8016574281225066,0.0082370447717986,"two-sided t interval, df=4",0.7914297861777717,0.8118850700672415
dp_eps_4,IDS,,fpr,5,0.0875502008032128,0.0042059112501767,"two-sided t interval, df=4",0.0823278722242281,0.0927725293821974
dp_eps_4,IDS,,precision,5,0.9150515732332734,0.002758992957886,"two-sided t interval, df=4",0.9116258310061686,0.918477315460378
dp_eps_4,IDS,,pr_auc,5,0.8906807426597549,0.0062529205297876,"two-sided t interval, df=4",0.8829167163542885,0.8984447689652214
dp_eps_4,IDS,,threshold,5,0.024,0.0089442719099991,"two-sided t interval, df=4",0.0128942195792088,0.0351057804207912
dp_eps_4,MIA,score_only_black_box,mia_auc,5,0.5030088463196154,0.0002205912444309,"two-sided t interval, df=4",0.5027349461130866,0.5032827465261442
