reference_condition,comparison_condition,domain,threat_model,metric,n_seeds,mean,standard_deviation,ci_method,ci_low,ci_high
non_private,dp_eps_2,IDS,,f1,5,-0.0151443889259304,0.014891494773299,"two-sided t interval, df=4",-0.0336346218653754,0.0033458440135144
non_private,dp_eps_2,IDS,,fnr,5,0.0082599548040208,0.0185983300536154,"two-sided t interval, df=4",-0.0148329220502645,0.0313528316583063
non_private,dp_eps_2,IDS,,fpr,5,0.027721140974153,0.0220225933186545,"two-sided t interval, df=4",0.0003764797032968,0.0550658022450091
non_private,dp_eps_2,IDS,,pr_auc,5,-0.0469292356701061,0.0049816994843458,"two-sided t interval, df=4",-0.0531148325696886,-0.0407436387705236
non_private,dp_eps_2,IDS,,precision,5,-0.0269235567291499,0.0209595277649184,"two-sided t interval, df=4",-0.0529482477742014,-0.0008988656840984
non_private,dp_eps_2,IDS,,recall,5,-0.0082599548040208,0.0185983300536154,"two-sided t interval, df=4",-0.0313528316583063,0.0148329220502646
non_private,dp_eps_2,IDS,,threshold,5,-0.178,0.0664830805543786,"two-sided t interval, df=4",-0.2605496476140528,-0.0954503523859471
non_private,dp_eps_2,MIA,label_aware_audit,mia_advantage,5,0.0034452647455743,0.0022253016137927,"two-sided t interval, df=4",0.000682187846583,0.0062083416445655
non_private,dp_eps_2,MIA,label_aware_audit,mia_auc,5,0.0005805901196001,0.0014812312988816,"two-sided t interval, df=4",-0.0012586014572337,0.002419781696434
non_private,dp_eps_2,MIA,label_aware_audit,mia_balanced_accuracy,5,-0.0001349527665317,0.0025927104503838,"two-sided t interval, df=4",-0.00335422799054,0.0030843224574765
non_private,dp_eps_2,MIA,label_aware_audit,tpr_at_1pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,dp_eps_2,MIA,label_aware_audit,tpr_at_5pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,dp_eps_2,MIA,score_only_black_box,mia_advantage,5,0.0020322298960069,0.0020259252147903,"two-sided t interval, df=4",-0.0004832885062514,0.0045477482982654
non_private,dp_eps_2,MIA,score_only_black_box,mia_auc,5,0.0009717388177687,0.001394380471647,"two-sided t interval, df=4",-0.0007596132136737,0.0027030908492113
non_private,dp_eps_2,MIA,score_only_black_box,mia_balanced_accuracy,5,0.0008652853854091,0.0013036266025489,"two-sided t interval, df=4",-0.0007533808340765,0.0024839516048949
non_private,dp_eps_2,MIA,score_only_black_box,tpr_at_1pct_fpr,5,-0.0002857823291259,0.0006390287146939,"two-sided t interval, df=4",-0.0010792412779798,0.0005076766197278
non_private,dp_eps_2,MIA,score_only_black_box,tpr_at_5pct_fpr,5,-0.0055092482337064,0.0123190535554882,"two-sided t interval, df=4",-0.0208053735255002,0.0097868770580874
non_private,dp_eps_4,IDS,,f1,5,-0.0080921242009512,0.0115297860873673,"two-sided t interval, df=4",-0.0224082444926259,0.0062239960907235
non_private,dp_eps_4,IDS,,fnr,5,-0.0040364684797007,0.013998214182757,"two-sided t interval, df=4",-0.0214175470695755,0.013344610110174
non_private,dp_eps_4,IDS,,fpr,5,0.0314488724127278,0.0216233186091134,"two-sided t interval, df=4",0.0045999761741021,0.0582977686513535
non_private,dp_eps_4,IDS,,pr_auc,5,-0.0468235328934821,0.0062768825607007,"two-sided t interval, df=4",-0.0546173119900572,-0.0390297537969069
non_private,dp_eps_4,IDS,,precision,5,-0.0289039174707586,0.0202522395337963,"two-sided t interval, df=4",-0.0540503941828725,-0.0037574407586446
non_private,dp_eps_4,IDS,,recall,5,0.0040364684797007,0.013998214182757,"two-sided t interval, df=4",-0.013344610110174,0.0214175470695755
non_private,dp_eps_4,IDS,,threshold,5,-0.182,0.0746324326281811,"two-sided t interval, df=4",-0.2746684046927806,-0.0893315953072193
non_private,dp_eps_4,MIA,label_aware_audit,mia_advantage,5,0.0031118520282606,0.0027803665392134,"two-sided t interval, df=4",-0.0003404290052909,0.0065641330618123
non_private,dp_eps_4,MIA,label_aware_audit,mia_auc,5,0.0007119275341032,0.0013277329307185,"two-sided t interval, df=4",-0.0009366706451995,0.0023605257134059
non_private,dp_eps_4,MIA,label_aware_audit,mia_balanced_accuracy,5,0.0004286734936889,0.003049884587052,"two-sided t interval, df=4",-0.0033582583967301,0.004215605384108
non_private,dp_eps_4,MIA,label_aware_audit,tpr_at_1pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,dp_eps_4,MIA,label_aware_audit,tpr_at_5pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,dp_eps_4,MIA,score_only_black_box,mia_advantage,5,0.0016511867905056,0.0025224876508523,"two-sided t interval, df=4",-0.0014808953114712,0.0047832688924826
non_private,dp_eps_4,MIA,score_only_black_box,mia_auc,5,0.0007122779150912,0.001470152807944,"two-sided t interval, df=4",-0.0011131578983911,0.0025377137285735
non_private,dp_eps_4,MIA,score_only_black_box,mia_balanced_accuracy,5,0.0005318726680955,0.0012939832297833,"two-sided t interval, df=4",-0.0010748197226058,0.0021385650587969
non_private,dp_eps_4,MIA,score_only_black_box,tpr_at_1pct_fpr,5,-0.0002857823291259,0.0006390287146939,"two-sided t interval, df=4",-0.0010792412779798,0.0005076766197278
non_private,dp_eps_4,MIA,score_only_black_box,tpr_at_5pct_fpr,5,-0.0055092482337064,0.0123190535554882,"two-sided t interval, df=4",-0.0208053735255002,0.0097868770580874
