condition,seed,run_source,formal_dp,target_epsilon,actual_epsilon,delta,noise_multiplier,max_grad_norm,batch_size,sample_rate,epochs,optimizer,learning_rate,weight_decay,accountant,poisson_sampling,secure_mode,training_seconds,selected_threshold,model_state_path,model_sha256,cache_fingerprint,output_sha256,source_device,source_software
non_private,42,accepted_experiment_05,False,,,,,,256,,30,Adam,0.001,0.0001,,False,False,41.0140745639801,0.29,/content/drive/MyDrive/ML-DP-NID/artifacts/models/dp_sgd_sweep/non_private.pt,c380553509ec2b66f3d8734a12905688e9a9d7178d420790c26dc1b869710102,e90dee9249283b186376f61d8f9eb29a5d5f7251f950bfba90b0e213e9a1147a,"{'ids': '3e7871b0142dde89221db4a0e3bbc70703cb8f8361422167ff753d4c756d624a', 'mia': 'a2675c4931b7965e93f6f102712bd30215c8653e15b1cdbcac5b6b6288e8e53b'}",cpu,"{'python': '3.13.15 (main, Aug  6 2026, 11:06:23) [GCC 11.4.0]', 'platform': 'Linux-6.6.122+-x86_64-with-glibc2.35', 'numpy': '2.1.3', 'pandas': '2.2.3', 'sklearn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0'}"
dp_eps_4,42,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125,1.0,256,0.0028985507246376,30,Adam,0.001,0.0001,prv,True,False,85.54690051078796,0.02,/content/drive/MyDrive/ML-DP-NID/artifacts/models/dp_sgd_sweep/dp_eps_4.pt,7ca77b11bb5dc47f6f0549b6ef77019c2061916bd3be77ca8be9d81f4df92fcf,0210d37c9d9f843e2e1c9d5c003d231bde709852ff018f5662279613e71b22a4,"{'ids': '8cc30b5cf50938d1d35d090fed87d374a0a8dc5e30775efaf96a27f508436e98', 'mia': '0cd54be700041ca5f7a12d6cdc060cacc1f1e46b7e8bb26a0391c51cb0df0f97'}",cpu,"{'python': '3.13.15 (main, Aug  6 2026, 11:06:23) [GCC 11.4.0]', 'platform': 'Linux-6.6.122+-x86_64-with-glibc2.35', 'numpy': '2.1.3', 'pandas': '2.2.3', 'sklearn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0'}"
dp_eps_2,42,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625,1.0,256,0.0028985507246376,30,Adam,0.001,0.0001,prv,True,False,85.47071266174316,0.03,/content/drive/MyDrive/ML-DP-NID/artifacts/models/dp_sgd_sweep/dp_eps_2.pt,1757fc45b5e89df8d8d46f84a981ec1319d949018c5542133799e2bee3baa26f,85724dc00ac8ddedf974dd9e5904579c7821124769733c739ade5835e3bae21f,"{'ids': '0cf874e434da15a3a6cb6de59394b4aea8e36317fc68848f75b4bfe7d0ea209e', 'mia': '21dfcaa2ffb743d713b27af2d8fa8a8daf02a2502e1c67bbe20a1efc33c4e122'}",cpu,"{'python': '3.13.15 (main, Aug  6 2026, 11:06:23) [GCC 11.4.0]', 'platform': 'Linux-6.6.122+-x86_64-with-glibc2.35', 'numpy': '2.1.3', 'pandas': '2.2.3', 'sklearn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0'}"
non_private,52,trained_experiment_06,False,,,,,,256,,30,Adam,0.001,0.0001,,False,False,36.71698498725891,0.14,/content/drive/MyDrive/ML-DP-NID/artifacts/models/repeated_runs/non_private_seed_52.pt,ea4d54e7823afd26cae7d2e0ded3af72e567eb163a619d3112ae81add25b8b28,784984e87d1e49f71767cf742dcb044d3adff8faca2be26512b6b0783e021ffd,"{'ids': '30bf10407539917e889e5e79c8de01cb6802b5e61465fdb6e7ffe3419bf3c496', 'mia': '15e8b3268233bbc5ef580ecbf3321ef1270f9f0d515b66b41487fbe7a405bd6c'}",cpu,"{'python': '3.13.15', 'numpy': '2.1.3', 'pandas': '2.2.3', 'scikit-learn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0', 'device': 'cpu'}"
dp_eps_4,52,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125,1.0,256,0.0028985507246376,30,Adam,0.001,0.0001,prv,True,False,136.99172616004944,0.02,/content/drive/MyDrive/ML-DP-NID/artifacts/models/repeated_runs/dp_eps_4_seed_52.pt,e6cf9919647743a351224d10b5783eae9457c1df1d73c55da1a65595c3b2d08c,a6bb0670948c4c1c78b201c91e0481c25cba6d205377914fc9f8ce48d9aab4a8,"{'ids': '98376465a42607b00bc6b16f7cdbb4a0ab72393192fc35c31ed5b534a367b6fb', 'mia': 'a34683cafdf0cf9060a99e4c5876887efbaba68151e31744377b77eba26484e3'}",cpu,"{'python': '3.13.15', 'numpy': '2.1.3', 'pandas': '2.2.3', 'scikit-learn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0', 'device': 'cpu'}"
dp_eps_2,52,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625,1.0,256,0.0028985507246376,30,Adam,0.001,0.0001,prv,True,False,133.5798304080963,0.02,/content/drive/MyDrive/ML-DP-NID/artifacts/models/repeated_runs/dp_eps_2_seed_52.pt,757a56d017b040b86abcda9234d07e319c473b32689aaf08dbc52989949e4562,6d12fd0c9574cc9800a0e7f174065fec4738595e396fcf6b20e3d71489b00cf3,"{'ids': '38912fc0a0352e86aa226b76f75c0bec41c125673a19789c3077bd572aad655a', 'mia': '5f185eb5182085619f90141170ad951f9378e3fd03b8f9d46830610703797516'}",cpu,"{'python': '3.13.15', 'numpy': '2.1.3', 'pandas': '2.2.3', 'scikit-learn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0', 'device': 'cpu'}"
non_private,62,trained_experiment_06,False,,,,,,256,,30,Adam,0.001,0.0001,,False,False,42.1232705116272,0.24,/content/drive/MyDrive/ML-DP-NID/artifacts/models/repeated_runs/non_private_seed_62.pt,f3afdb0015598a11f485b65e8dbaea2fb7398fa56b31f3e8da28095309283817,d0115e7a9943d0e91783db3534c40f94537af413afc32912b72086c70809bee0,"{'ids': '2174bd9ddc907c87ce172d1a3c82885225d0624ec0621c4b9887b8ee9def92b1', 'mia': '7e97a046f54980179658c3cb9b06cc33da81da6becaad0fdabeb78df66a67bc5'}",cpu,"{'python': '3.13.15', 'numpy': '2.1.3', 'pandas': '2.2.3', 'scikit-learn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0', 'device': 'cpu'}"
dp_eps_4,62,trained_experiment_06,True,4.0,3.9982670408726286,1.134031140495118e-05,0.6817626953125,1.0,256,0.0028985507246376,30,Adam,0.001,0.0001,prv,True,False,133.64963006973267,0.02,/content/drive/MyDrive/ML-DP-NID/artifacts/models/repeated_runs/dp_eps_4_seed_62.pt,e79adde6d088b1750e9274c6b08ebfe7bd0571f6d89be7b7763ec47abb7df2a4,8a6bdd1c3f8e7dfcd635b70bae116f6f0131f380053d092dbc1e2b4126852e0a,"{'ids': '46223b18b6c89fcf56b54915dde7886737ae83ad8816adb2582c09ca63be4b02', 'mia': '452518629a55b2db04ba6850a24431694e385bcd0a4e516d2593f513a2b7a564'}",cpu,"{'python': '3.13.15', 'numpy': '2.1.3', 'pandas': '2.2.3', 'scikit-learn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0', 'device': 'cpu'}"
dp_eps_2,62,trained_experiment_06,True,2.0,1.999037532733395,1.134031140495118e-05,0.88134765625,1.0,256,0.0028985507246376,30,Adam,0.001,0.0001,prv,True,False,128.89355397224426,0.03,/content/drive/MyDrive/ML-DP-NID/artifacts/models/repeated_runs/dp_eps_2_seed_62.pt,80c542d04db44b70b6f2c299bf9c74d84f37172192cd0842bfc03c15ef34b578,0d8468a9161246f973ffb108803c240e3fea623248e555aad9dc8175d7cb77bd,"{'ids': '8a45394ca51a6ecdd117cdf37535144a69995ac8f76e974c1db84e2a870d6e94', 'mia': '316f0e202b1c624018ab8254da14a74b99c1d0f6db38620c324f42cc1b5f6471'}",cpu,"{'python': '3.13.15', 'numpy': '2.1.3', 'pandas': '2.2.3', 'scikit-learn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0', 'device': 'cpu'}"
non_private,72,trained_experiment_06,False,,,,,,256,,30,Adam,0.001,0.0001,,False,False,38.0602912902832,0.23,/content/drive/MyDrive/ML-DP-NID/artifacts/models/repeated_runs/non_private_seed_72.pt,f38fda94f98481e94bb0863586926a07bacac464241541560c7601d07edf248d,d7d3c9b5c449110934a7a41d103ce2797d924a0f6dbf2ba15ff863df71b37aaa,"{'ids': '0d3aef2140712496211256013b3511561af0cf2690e1a433e9f88009f8b385fa', 'mia': 'e1f8e93c258d236cca800ce47c3b19ae5266918d163e74ad6ff760d97554dd04'}",cpu,"{'python': '3.13.15', 'numpy': '2.1.3', 'pandas': '2.2.3', 'scikit-learn': '1.6.1', 'torch': '2.11.0+cpu', 'opacus': '1.6.0', 'device': 'cpu'}"
