comparison_condition,reference_condition,threat_model,metric,analysis_role,n_seeds,mean,standard_deviation,ci_method,ci_low,ci_high
dp_eps_2,non_private,label_aware_audit,mia_advantage,secondary,5,0.0034452647455743,0.0022253016137927,"two-sided t interval, df=4",0.000682187846583,0.0062083416445655
dp_eps_2,non_private,label_aware_audit,mia_auc,secondary,5,0.0005805901196001,0.0014812312988816,"two-sided t interval, df=4",-0.0012586014572337,0.002419781696434
dp_eps_2,non_private,label_aware_audit,mia_balanced_accuracy,secondary,5,-0.0001349527665317,0.0025927104503838,"two-sided t interval, df=4",-0.00335422799054,0.0030843224574765
dp_eps_2,non_private,label_aware_audit,tpr_at_1pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_2,non_private,label_aware_audit,tpr_at_5pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_2,non_private,score_only_black_box,mia_advantage,secondary,5,0.0020322298960069,0.0020259252147903,"two-sided t interval, df=4",-0.0004832885062514,0.0045477482982654
dp_eps_2,non_private,score_only_black_box,mia_auc,secondary,5,0.0009717388177687,0.001394380471647,"two-sided t interval, df=4",-0.0007596132136737,0.0027030908492113
dp_eps_2,non_private,score_only_black_box,mia_balanced_accuracy,secondary,5,0.0008652853854091,0.0013036266025489,"two-sided t interval, df=4",-0.0007533808340765,0.0024839516048949
dp_eps_2,non_private,score_only_black_box,tpr_at_1pct_fpr,secondary,5,-0.0002857823291259,0.0006390287146939,"two-sided t interval, df=4",-0.0010792412779798,0.0005076766197278
dp_eps_2,non_private,score_only_black_box,tpr_at_5pct_fpr,secondary,5,-0.0055092482337064,0.0123190535554882,"two-sided t interval, df=4",-0.0208053735255002,0.0097868770580874
dp_eps_4,non_private,label_aware_audit,mia_advantage,secondary,5,0.0025085337778836,0.0056593039444332,"two-sided t interval, df=4",-0.0045184201848116,0.0095354877405789
dp_eps_4,non_private,label_aware_audit,mia_auc,secondary,5,0.001094977137924,0.0025151017655726,"two-sided t interval, df=4",-0.0020279341762062,0.0042178884520544
dp_eps_4,non_private,label_aware_audit,mia_balanced_accuracy,secondary,5,-0.0008414701913154,0.003282025998279,"two-sided t interval, df=4",-0.0049166437145472,0.0032337033319164
dp_eps_4,non_private,label_aware_audit,tpr_at_1pct_fpr,secondary,5,0.0104310550130983,0.0013385090148011,"two-sided t interval, df=4",0.0087690765581485,0.0120930334680481
dp_eps_4,non_private,label_aware_audit,tpr_at_5pct_fpr,secondary,5,0.0492180677939191,0.0028021533055049,"two-sided t interval, df=4",0.045738734917026,0.0526974006708123
dp_eps_4,non_private,score_only_black_box,mia_advantage,secondary,5,0.000460427085814,0.0040444560386479,"two-sided t interval, df=4",-0.0045614283696929,0.0054822825413211
dp_eps_4,non_private,score_only_black_box,mia_auc,secondary,5,2.228448290717555e-05,0.0020321982312986,"two-sided t interval, df=4",-0.0025010228981097,0.002545591863924
dp_eps_4,non_private,score_only_black_box,mia_balanced_accuracy,secondary,5,7.144558228147079e-05,0.0013352682821252,"two-sided t interval, df=4",-0.0015865089715768,0.0017294001361398
dp_eps_4,non_private,score_only_black_box,tpr_at_1pct_fpr,secondary,5,0.0096372152099706,0.0007113619692695,"two-sided t interval, df=4",0.0087539426630373,0.0105204877569039
dp_eps_4,non_private,score_only_black_box,tpr_at_5pct_fpr,secondary,5,0.0444391521790902,0.0121735275572272,"two-sided t interval, df=4",0.0293237212801397,0.0595545830780407
