condition,seed,run_source,formal_dp,target_epsilon,actual_epsilon,delta,split,threshold_policy,threshold,accuracy,precision,recall,f1,fnr,fpr,roc_auc,pr_auc,tn,fp,fn,tp
non_private,42,accepted_experiment_05,False,,,,target_validation,default_0_5,0.5,0.9948400412796696,0.9942038868053188,0.994712604468702,0.9944581805780544,0.0052873955312979,0.005049005049005,0.9998172305864614,0.9998000499766132,6700,34,31,5832
non_private,42,accepted_experiment_05,False,,,,KDDTest+,default_0_5,0.5,0.8107256919801278,0.9635281385281386,0.6937582794358295,0.8066869025506275,0.3062417205641705,0.0347029142209865,0.9103638879025004,0.935713551393365,9374,337,3930,8903
non_private,42,accepted_experiment_05,False,,,,KDDTest+,validation_selected_F2,0.29,0.8165365507452094,0.9589445910290236,0.7080183900880542,0.814595660749507,0.2919816099119457,0.0400576665636906,0.9103638879025004,0.935713551393365,9322,389,3747,9086
dp_eps_4,42,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,target_validation,default_0_5,0.5,0.9817416845280622,0.9909360292835976,0.9696401159815794,0.9801724137931036,0.0303598840184206,0.0077220077220077,0.9970085692412148,0.9972780029493156,6682,52,178,5685
dp_eps_4,42,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,default_0_5,0.5,0.734652235628105,0.9152624560552794,0.5883269695316762,0.7162508300920216,0.4116730304683239,0.0719802286067346,0.83883158045028,0.8977608403572535,9012,699,5283,7550
dp_eps_4,42,accepted_experiment_05,True,4.0,3.9982670408726286,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.02,0.8066447835344216,0.9162900373354294,0.7267201745499883,0.8105688583720829,0.2732798254500116,0.0877355576150756,0.83883158045028,0.8977608403572535,8859,852,3507,9326
dp_eps_2,42,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,target_validation,default_0_5,0.5,0.980074620941494,0.9919354838709676,0.965034965034965,0.978300337166076,0.0349650349650349,0.0068310068310068,0.9967799175116248,0.9970128857462908,6688,46,205,5658
dp_eps_2,42,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,default_0_5,0.5,0.7336763662171752,0.9148341635281254,0.5867684874931817,0.7149639194834789,0.4132315125068183,0.0721861806199155,0.8334451721934482,0.895967351762364,9010,701,5303,7530
dp_eps_2,42,accepted_experiment_05,True,2.0,1.999037532733395,1.134031140495118e-05,KDDTest+,validation_selected_F2,0.03,0.7853530872959545,0.916875260742595,0.6850307800202603,0.7841755497078632,0.3149692199797397,0.0820718772526001,0.8334451721934482,0.895967351762364,8914,797,4042,8791
non_private,52,trained_experiment_06,False,,,,target_validation,default_0_5,0.5,0.9936492815749781,0.9957140408023316,0.9906191369606003,0.9931600547195623,0.009380863039399626,0.0037125037125037125,0.9997925607681705,0.9997692412132985,6709,25,55,5808
