reference_condition,comparison_condition,seed,domain,threat_model,metric,reference_value,comparison_value,difference_dp_minus_non_private
non_private,dp_eps_4,42,IDS,,recall,0.7080183900880542,0.7267201745499883,0.018701784461934046
non_private,dp_eps_4,42,IDS,,fnr,0.2919816099119457,0.2732798254500116,-0.0187017844619341
non_private,dp_eps_4,42,IDS,,f1,0.814595660749507,0.8105688583720829,-0.0040268023774240325
non_private,dp_eps_4,42,IDS,,fpr,0.0400576665636906,0.0877355576150756,0.047677891051384994
non_private,dp_eps_4,42,IDS,,precision,0.9589445910290236,0.9162900373354294,-0.04265455369359428
non_private,dp_eps_4,42,IDS,,pr_auc,0.935713551393365,0.8977608403572535,-0.03795271103611153
non_private,dp_eps_4,42,IDS,,threshold,0.29,0.02,-0.26999999999999996
non_private,dp_eps_4,42,MIA,score_only_black_box,mia_auc,0.5017771153560524,0.5028840672053674,0.0011069518493149744
non_private,dp_eps_4,42,MIA,score_only_black_box,mia_advantage,0.008970389775343368,0.01286020481066924,0.003889815035325872
non_private,dp_eps_4,42,MIA,score_only_black_box,mia_balanced_accuracy,0.5020242914979758,0.500515995872033,-0.0015082956259427904
non_private,dp_eps_4,42,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,42,MIA,score_only_black_box,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,42,MIA,label_aware_audit,mia_auc,0.5014386384991358,0.50166603008869,0.00022739158955420447
non_private,dp_eps_4,42,MIA,label_aware_audit,mia_advantage,0.005636262602206843,0.012225132968167018,0.0065888703659601755
non_private,dp_eps_4,42,MIA,label_aware_audit,mia_balanced_accuracy,0.5000396919901564,0.5043661189172025,0.004326426927046101
non_private,dp_eps_4,42,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,42,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,52,IDS,,recall,0.7150315592612795,0.7125379879996883,-0.002493571261591221
non_private,dp_eps_4,52,IDS,,fnr,0.28496844073872046,0.2874620120003117,0.002493571261591221
non_private,dp_eps_4,52,IDS,,f1,0.8051241554795121,0.8015076478064601,-0.003616507673051994
non_private,dp_eps_4,52,IDS,,fpr,0.08083616517351457,0.08649984553599012,0.005663680362475554
non_private,dp_eps_4,52,IDS,,precision,0.9211926513402269,0.9158653846153846,-0.0053272667248422945
non_private,dp_eps_4,52,IDS,,pr_auc,0.9424039830380523,0.8888781070769787,-0.05352587596107361
non_private,dp_eps_4,52,IDS,,threshold,0.14,0.02,-0.12000000000000001
non_private,dp_eps_4,52,MIA,score_only_black_box,mia_auc,0.5047815346496959,0.503100569256303,-0.001680965393392908
non_private,dp_eps_4,52,MIA,score_only_black_box,mia_advantage,0.013495276653171406,0.011113757243788214,-0.0023815194093831926
non_private,dp_eps_4,52,MIA,score_only_black_box,mia_balanced_accuracy,0.501031991744066,0.5010716837342224,3.969199015640967e-05
non_private,dp_eps_4,52,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,52,MIA,score_only_black_box,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,52,MIA,label_aware_audit,mia_auc,0.502346333217903,0.5019608385093459,-0.0003854947085570881
non_private,dp_eps_4,52,MIA,label_aware_audit,mia_advantage,0.011828213066603144,0.011113757243788214,-0.00071445582281493
non_private,dp_eps_4,52,MIA,label_aware_audit,mia_balanced_accuracy,0.5011510677145352,0.5,-0.0011510677145352144
non_private,dp_eps_4,52,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,52,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,62,IDS,,recall,0.74043481648874,0.7237590586768488,-0.016675757811891234
non_private,dp_eps_4,62,IDS,,fnr,0.25956518351126,0.27624094132315125,0.016675757811891234
non_private,dp_eps_4,62,IDS,,f1,0.8354141023386671,0.8073362597244557,-0.028077842614211423
non_private,dp_eps_4,62,IDS,,fpr,0.042529090721861805,0.0914426938523324,0.0489136031304706
non_private,dp_eps_4,62,IDS,,precision,0.9583459404942007,0.9127358490566038,-0.04561009143759698
non_private,dp_eps_4,62,IDS,,pr_auc,0.946620934844928,0.8945171843072204,-0.05210375053770766
non_private,dp_eps_4,62,IDS,,threshold,0.24000000000000002,0.02,-0.22000000000000003
non_private,dp_eps_4,62,MIA,score_only_black_box,mia_auc,0.5005401790922005,0.502695214373581,0.002155035281380502
non_private,dp_eps_4,62,MIA,score_only_black_box,mia_advantage,0.007223942208462342,0.010875605302849867,0.003651663094387525
non_private,dp_eps_4,62,MIA,score_only_black_box,mia_balanced_accuracy,0.49980154004921806,0.5009129157735969,0.0011113757243788047
non_private,dp_eps_4,62,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0014289116456299119,0.0,-0.0014289116456299119
non_private,dp_eps_4,62,MIA,score_only_black_box,tpr_at_5pct_fpr,0.02754624116853219,0.0,-0.02754624116853219
non_private,dp_eps_4,62,MIA,label_aware_audit,mia_auc,0.5002335705204662,0.5009065320336543,0.0006729615131880751
non_private,dp_eps_4,62,MIA,label_aware_audit,mia_advantage,0.008017782011590091,0.01103437326347545,0.003016591251885359
non_private,dp_eps_4,62,MIA,label_aware_audit,mia_balanced_accuracy,0.5000793839803128,0.5027387473207907,0.002659363340477894
non_private,dp_eps_4,62,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,62,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,72,IDS,,recall,0.7048235019091404,0.7121483674900647,0.007324865580924267
non_private,dp_eps_4,72,IDS,,fnr,0.2951764980908595,0.28785163250993534,-0.007324865580924156
non_private,dp_eps_4,72,IDS,,f1,0.7981821390751853,0.7997024851242562,0.0015203460490709197
non_private,dp_eps_4,72,IDS,,fpr,0.08093914118010503,0.09103078982597054,0.010091648645865509
non_private,dp_eps_4,72,IDS,,precision,0.9200488251449497,0.9118028534370947,-0.008245971707855015
non_private,dp_eps_4,72,IDS,,pr_auc,0.9257613601934485,0.8812880448822493,-0.044473315311199135
non_private,dp_eps_4,72,IDS,,threshold,0.23,0.02,-0.21000000000000002
non_private,dp_eps_4,72,MIA,score_only_black_box,mia_auc,0.5027829388078069,0.5032602856402862,0.00047734683247935283
non_private,dp_eps_4,72,MIA,score_only_black_box,mia_advantage,0.00770024609033898,0.00952607763753277,0.0018258315471937903
non_private,dp_eps_4,72,MIA,score_only_black_box,mia_balanced_accuracy,0.4993252361673415,0.5009922997539097,0.001667063586568207
non_private,dp_eps_4,72,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,72,MIA,score_only_black_box,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,72,MIA,label_aware_audit,mia_auc,0.5013666402475621,0.5014232242563919,5.658400882979642e-05
non_private,dp_eps_4,72,MIA,label_aware_audit,mia_advantage,0.004921806779391913,0.009684845598158298,0.004763038818766385
non_private,dp_eps_4,72,MIA,label_aware_audit,mia_balanced_accuracy,0.49996030800984365,0.4995633881082797,-0.0003969199015639302
non_private,dp_eps_4,72,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,72,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,82,IDS,,recall,0.6784072313566586,0.6917322527857866,0.013325021429128059
non_private,dp_eps_4,82,IDS,,fnr,0.3215927686433414,0.30826774721421335,-0.013325021429128059
non_private,dp_eps_4,82,IDS,,f1,0.7954317039744175,0.7891718895852781,-0.006259814389139473
non_private,dp_eps_4,82,IDS,,fpr,0.03614457831325301,0.0810421171866955,0.04489753887344249
non_private,dp_eps_4,82,IDS,,precision,0.9612454455117588,0.9185637417218543,-0.042681703789904546
non_private,dp_eps_4,82,IDS,,pr_auc,0.9370215482963911,0.8909595366750724,-0.04606201162131862
non_private,dp_eps_4,82,IDS,,threshold,0.13,0.04,-0.09
non_private,dp_eps_4,82,MIA,score_only_black_box,mia_auc,0.5016010741168655,0.5031040951225397,0.0015030210056742321
non_private,dp_eps_4,82,MIA,score_only_black_box,mia_advantage,0.009684845598158298,0.010954989283162686,0.001270143685004388
non_private,dp_eps_4,82,MIA,score_only_black_box,mia_balanced_accuracy,0.49980154004921806,0.5011510677145352,0.0013495276653171517
non_private,dp_eps_4,82,MIA,score_only_black_box,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,82,MIA,score_only_black_box,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,82,MIA,label_aware_audit,mia_auc,0.499024655282927,0.5020128505504281,0.0029881952675011036
non_private,dp_eps_4,82,MIA,label_aware_audit,mia_advantage,0.00889100579503066,0.010796221322537103,0.001905215527506443
non_private,dp_eps_4,82,MIA,label_aware_audit,mia_balanced_accuracy,0.5038501230451695,0.5005556878621894,-0.0032944351829801155
non_private,dp_eps_4,82,MIA,label_aware_audit,tpr_at_1pct_fpr,0.0,0.0,0.0
non_private,dp_eps_4,82,MIA,label_aware_audit,tpr_at_5pct_fpr,0.0,0.0,0.0
non_private,dp_eps_2,42,IDS,,recall,0.7080183900880542,0.6850307800202603,-0.02298761006779393
non_private,dp_eps_2,42,IDS,,fnr,0.2919816099119457,0.3149692199797397,0.022987610067793984
non_private,dp_eps_2,42,IDS,,f1,0.814595660749507,0.7841755497078632,-0.03042011104164377
non_private,dp_eps_2,42,IDS,,fpr,0.0400576665636906,0.0820718772526001,0.042014210688909495
non_private,dp_eps_2,42,IDS,,precision,0.9589445910290236,0.916875260742595,-0.042069330286428674
non_private,dp_eps_2,42,IDS,,pr_auc,0.935713551393365,0.895967351762364,-0.03974619963100101
non_private,dp_eps_2,42,IDS,,threshold,0.29,0.03,-0.26
non_private,dp_eps_2,42,MIA,score_only_black_box,mia_auc,0.5017771153560524,0.5029159922068966,0.0011388768508442393
