reference_condition,comparison_condition,domain,threat_model,metric,n_seeds,mean,standard_deviation,ci_method,ci_low,ci_high
non_private,dp_eps_2,IDS,,f1,5,-0.015144388925930462,0.014891494773299018,"two-sided t interval, df=4",-0.033634621865375414,0.0033458440135144887
non_private,dp_eps_2,IDS,,fnr,5,0.008259954804020897,0.018598330053615473,"two-sided t interval, df=4",-0.014832922050264563,0.03135283165830636
non_private,dp_eps_2,IDS,,fpr,5,0.027721140974153024,0.022022593318654554,"two-sided t interval, df=4",0.00037647970329685726,0.05506580224500919
non_private,dp_eps_2,IDS,,pr_auc,5,-0.046929235670106165,0.004981699484345836,"two-sided t interval, df=4",-0.05311483256968866,-0.04074363877052367
non_private,dp_eps_2,IDS,,precision,5,-0.026923556729149922,0.020959527764918447,"two-sided t interval, df=4",-0.052948247774201415,-0.0008988656840984294
non_private,dp_eps_2,IDS,,recall,5,-0.008259954804020864,0.018598330053615497,"two-sided t interval, df=4",-0.03135283165830635,0.014832922050264624
non_private,dp_eps_2,IDS,,threshold,5,-0.178,0.06648308055437865,"two-sided t interval, df=4",-0.26054964761405286,-0.09545035238594712
non_private,dp_eps_2,MIA,label_aware_audit,mia_advantage,5,0.003445264745574328,0.002225301613792786,"two-sided t interval, df=4",0.0006821878465830835,0.006208341644565572
non_private,dp_eps_2,MIA,label_aware_audit,mia_auc,5,0.000580590119600155,0.0014812312988816394,"two-sided t interval, df=4",-0.0012586014572337797,0.00241978169643409
non_private,dp_eps_2,MIA,label_aware_audit,mia_balanced_accuracy,5,-0.00013495276653174848,0.002592710450383871,"two-sided t interval, df=4",-0.003354227990540074,0.003084322457476577
non_private,dp_eps_2,MIA,label_aware_audit,tpr_at_1pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,dp_eps_2,MIA,label_aware_audit,tpr_at_5pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,dp_eps_2,MIA,score_only_black_box,mia_advantage,5,0.002032229896006976,0.0020259252147903956,"two-sided t interval, df=4",-0.00048328850625149094,0.004547748298265443
non_private,dp_eps_2,MIA,score_only_black_box,mia_auc,5,0.0009717388177687969,0.0013943804716470313,"two-sided t interval, df=4",-0.0007596132136737097,0.0027030908492113037
non_private,dp_eps_2,MIA,score_only_black_box,mia_balanced_accuracy,5,0.000865285385409198,0.001303626602548973,"two-sided t interval, df=4",-0.0007533808340765521,0.0024839516048949482
non_private,dp_eps_2,MIA,score_only_black_box,tpr_at_1pct_fpr,5,-0.0002857823291259824,0.0006390287146939147,"two-sided t interval, df=4",-0.0010792412779798426,0.0005076766197278777
non_private,dp_eps_2,MIA,score_only_black_box,tpr_at_5pct_fpr,5,-0.005509248233706438,0.012319053555488244,"two-sided t interval, df=4",-0.020805373525500298,0.00978687705808742
non_private,dp_eps_4,IDS,,f1,5,-0.008092124200951201,0.01152978608736738,"two-sided t interval, df=4",-0.02240824449262594,0.006223996090723539
non_private,dp_eps_4,IDS,,fnr,5,-0.004036468479700772,0.013998214182757072,"two-sided t interval, df=4",-0.02141754706957559,0.013344610110174045
non_private,dp_eps_4,IDS,,fpr,5,0.03144887241272783,0.02162331860911342,"two-sided t interval, df=4",0.004599976174102155,0.0582977686513535
non_private,dp_eps_4,IDS,,pr_auc,5,-0.04682353289348211,0.00627688256070073,"two-sided t interval, df=4",-0.054617311990057274,-0.039029753796906944
non_private,dp_eps_4,IDS,,precision,5,-0.02890391747075862,0.020252239533796356,"two-sided t interval, df=4",-0.054050394182872594,-0.0037574407586446514
non_private,dp_eps_4,IDS,,recall,5,0.004036468479700783,0.013998214182757063,"two-sided t interval, df=4",-0.013344610110174019,0.021417547069575587
non_private,dp_eps_4,IDS,,threshold,5,-0.182,0.07463243262818116,"two-sided t interval, df=4",-0.27466840469278064,-0.08933159530721933
non_private,dp_eps_4,MIA,label_aware_audit,mia_advantage,5,0.0031118520282606863,0.0027803665392134003,"two-sided t interval, df=4",-0.0003404290052909935,0.006564133061812366
non_private,dp_eps_4,MIA,label_aware_audit,mia_auc,5,0.0007119275341032183,0.0013277329307185314,"two-sided t interval, df=4",-0.000936670645199558,0.0023605257134059945
non_private,dp_eps_4,MIA,label_aware_audit,mia_balanced_accuracy,5,0.0004286734936889469,0.0030498845870520225,"two-sided t interval, df=4",-0.0033582583967301104,0.004215605384108004
non_private,dp_eps_4,MIA,label_aware_audit,tpr_at_1pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,dp_eps_4,MIA,label_aware_audit,tpr_at_5pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,dp_eps_4,MIA,score_only_black_box,mia_advantage,5,0.0016511867905056766,0.002522487650852347,"two-sided t interval, df=4",-0.001480895311471275,0.004783268892482628
non_private,dp_eps_4,MIA,score_only_black_box,mia_auc,5,0.0007122779150912306,0.0014701528079440972,"two-sided t interval, df=4",-0.001113157898391131,0.0025377137285735926
non_private,dp_eps_4,MIA,score_only_black_box,mia_balanced_accuracy,5,0.0005318726680955566,0.0012939832297833142,"two-sided t interval, df=4",-0.0010748197226058164,0.0021385650587969294
non_private,dp_eps_4,MIA,score_only_black_box,tpr_at_1pct_fpr,5,-0.0002857823291259824,0.0006390287146939147,"two-sided t interval, df=4",-0.0010792412779798426,0.0005076766197278777
non_private,dp_eps_4,MIA,score_only_black_box,tpr_at_5pct_fpr,5,-0.005509248233706438,0.012319053555488244,"two-sided t interval, df=4",-0.020805373525500298,0.00978687705808742
