condition,domain,threat_model,metric,n_seeds,mean,standard_deviation,ci_method,ci_low,ci_high
non_private,IDS,,recall,5,0.7093430998207745,0.022238834248647147,"two-sided t interval, df=4",0.6817299399722084,0.7369562596693405
non_private,IDS,,fnr,5,0.29065690017922546,0.022238834248647147,"two-sided t interval, df=4",0.2630437403306594,0.3182700600277915
non_private,IDS,,f1,5,0.8097495523234578,0.016142753954380053,"two-sided t interval, df=4",0.7897056759064426,0.829793428740473
non_private,IDS,,fpr,5,0.056101328390485004,0.02274096352755616,"two-sided t interval, df=4",0.027864692693853593,0.08433796408711641
non_private,IDS,,precision,5,0.943955490704032,0.02133293360643044,"two-sided t interval, df=4",0.917467155068856,0.9704438263392079
non_private,IDS,,pr_auc,5,0.937504275553237,0.007881249739824589,"two-sided t interval, df=4",0.927718411490444,0.94729013961603
non_private,IDS,,threshold,5,0.20600000000000002,0.0687749954561976,"two-sided t interval, df=4",0.12060456416541183,0.2913954358345882
non_private,MIA,score_only_black_box,mia_auc,5,0.5022965684045243,0.0016007857913388564,"two-sided t interval, df=4",0.5003089303185827,0.5042842064904659
non_private,MIA,score_only_black_box,mia_advantage,5,0.00941494006509488,0.002482955278681281,"two-sided t interval, df=4",0.006331943886406333,0.012497936243783425
non_private,MIA,score_only_black_box,mia_balanced_accuracy,5,0.5003969199015639,0.0011078261282013943,"two-sided t interval, df=4",0.4990213720819067,0.501772467721221
non_private,MIA,score_only_black_box,tpr_at_1pct_fpr,5,0.0002857823291259824,0.0006390287146939147,"two-sided t interval, df=4",-0.0005076766197278777,0.0010792412779798426
non_private,MIA,score_only_black_box,tpr_at_5pct_fpr,5,0.005509248233706438,0.012319053555488244,"two-sided t interval, df=4",-0.00978687705808742,0.020805373525500298
non_private,MIA,label_aware_audit,mia_auc,5,0.5008819675535988,0.0012805452494967667,"two-sided t interval, df=4",0.4992919606192278,0.5024719744879698
non_private,MIA,label_aware_audit,mia_advantage,5,0.00785901405096453,0.0027573794447818497,"two-sided t interval, df=4",0.004435275264991817,0.011282752836937244
non_private,MIA,label_aware_audit,mia_balanced_accuracy,5,0.5010161149480036,0.001657966309451521,"two-sided t interval, df=4",0.4989574778713229,0.5030747520246843
non_private,MIA,label_aware_audit,tpr_at_1pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,MIA,label_aware_audit,tpr_at_5pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_4,IDS,,recall,5,0.7133795683004752,0.013752599548889678,"two-sided t interval, df=4",0.6963034605589056,0.7304556760420449
dp_eps_4,IDS,,fnr,5,0.28662043169952467,0.013752599548889704,"two-sided t interval, df=4",0.26954432395795497,0.30369653944109437
dp_eps_4,IDS,,f1,5,0.8016574281225066,0.008237044771798641,"two-sided t interval, df=4",0.7914297861777717,0.8118850700672415
dp_eps_4,IDS,,fpr,5,0.08755020080321282,0.004205911250176749,"two-sided t interval, df=4",0.08232787222422816,0.09277252938219749
dp_eps_4,IDS,,precision,5,0.9150515732332734,0.0027589929578860427,"two-sided t interval, df=4",0.9116258310061686,0.9184773154603781
dp_eps_4,IDS,,pr_auc,5,0.8906807426597549,0.006252920529787622,"two-sided t interval, df=4",0.8829167163542885,0.8984447689652214
dp_eps_4,IDS,,threshold,5,0.024,0.008944271909999158,"two-sided t interval, df=4",0.012894219579208808,0.0351057804207912
dp_eps_4,MIA,score_only_black_box,mia_auc,5,0.5030088463196154,0.00022059124443094422,"two-sided t interval, df=4",0.5027349461130866,0.5032827465261442
dp_eps_4,MIA,score_only_black_box,mia_advantage,5,0.011066126855600555,0.0011875801003388628,"two-sided t interval, df=4",0.009591551400026573,0.012540702311174537
dp_eps_4,MIA,score_only_black_box,mia_balanced_accuracy,5,0.5009287925696595,0.00024724000162575424,"two-sided t interval, df=4",0.5006218035607249,0.501235781578594
dp_eps_4,MIA,score_only_black_box,tpr_at_1pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_4,MIA,score_only_black_box,tpr_at_5pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_4,MIA,label_aware_audit,mia_auc,5,0.501593895087702,0.00045193227189845297,"two-sided t interval, df=4",0.5010327470560593,0.5021550431193448
dp_eps_4,MIA,label_aware_audit,mia_advantage,5,0.010970866079225216,0.0009058126109769541,"two-sided t interval, df=4",0.009846151171056179,0.012095580987394253
dp_eps_4,MIA,label_aware_audit,mia_balanced_accuracy,5,0.5014447884416924,0.002038754645870082,"two-sided t interval, df=4",0.4989133401967448,0.5039762366866399
dp_eps_4,MIA,label_aware_audit,tpr_at_1pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_4,MIA,label_aware_audit,tpr_at_5pct_fpr,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
