comparison_condition,reference_condition,threat_model,seed,metric,difference_dp_minus_non_private
dp_eps_4,non_private,score_only_black_box,42,mia_auc,0.0012838312300738064
dp_eps_4,non_private,score_only_black_box,42,mia_advantage,0.003572279114074761
dp_eps_4,non_private,score_only_black_box,42,mia_balanced_accuracy,-0.0018655235373502554
dp_eps_4,non_private,score_only_black_box,42,tpr_at_1pct_fpr,0.009287925696594427
dp_eps_4,non_private,score_only_black_box,42,tpr_at_5pct_fpr,0.05072636341986187
dp_eps_4,non_private,score_only_black_box,52,mia_auc,-0.001163800534430659
dp_eps_4,non_private,score_only_black_box,52,mia_advantage,-0.0019845995078192624
dp_eps_4,non_private,score_only_black_box,52,mia_balanced_accuracy,-0.0007541478129713397
dp_eps_4,non_private,score_only_black_box,52,tpr_at_1pct_fpr,0.009129157735968882
dp_eps_4,non_private,score_only_black_box,52,tpr_at_5pct_fpr,0.04969437167579582
dp_eps_4,non_private,score_only_black_box,62,mia_auc,0.002152883211103629
dp_eps_4,non_private,score_only_black_box,62,mia_advantage,0.0036516630943875805
dp_eps_4,non_private,score_only_black_box,62,mia_balanced_accuracy,0.0011113757243788047
dp_eps_4,non_private,score_only_black_box,62,tpr_at_1pct_fpr,0.009843613558783838
dp_eps_4,non_private,score_only_black_box,62,tpr_at_5pct_fpr,0.02270381836945304
dp_eps_4,non_private,score_only_black_box,72,mia_auc,0.0007287042295376356
dp_eps_4,non_private,score_only_black_box,72,mia_advantage,0.0025402873700087203
dp_eps_4,non_private,score_only_black_box,72,mia_balanced_accuracy,0.001190759704691513
dp_eps_4,non_private,score_only_black_box,72,tpr_at_1pct_fpr,0.009129157735968882
dp_eps_4,non_private,score_only_black_box,72,tpr_at_5pct_fpr,0.05032944351829801
dp_eps_4,non_private,score_only_black_box,82,mia_auc,-0.002890195721748534
dp_eps_4,non_private,score_only_black_box,82,mia_advantage,-0.005477494641581315
dp_eps_4,non_private,score_only_black_box,82,mia_balanced_accuracy,0.0006747638326586314
dp_eps_4,non_private,score_only_black_box,82,tpr_at_1pct_fpr,0.010796221322537112
dp_eps_4,non_private,score_only_black_box,82,tpr_at_5pct_fpr,0.04874176391204255
dp_eps_4,non_private,label_aware_audit,42,mia_auc,0.002158312225872039
dp_eps_4,non_private,label_aware_audit,42,mia_advantage,0.007779630070651855
dp_eps_4,non_private,label_aware_audit,42,mia_balanced_accuracy,0.0005159958720329927
dp_eps_4,non_private,label_aware_audit,42,tpr_at_1pct_fpr,0.008573469873779471
dp_eps_4,non_private,label_aware_audit,42,tpr_at_5pct_fpr,0.04707470032547432
dp_eps_4,non_private,label_aware_audit,52,mia_auc,-0.00124638583743919
dp_eps_4,non_private,label_aware_audit,52,mia_advantage,-0.001746447566880971
dp_eps_4,non_private,label_aware_audit,52,mia_balanced_accuracy,-0.0011510677145352144
dp_eps_4,non_private,label_aware_audit,52,tpr_at_1pct_fpr,0.009764229578471064
dp_eps_4,non_private,label_aware_audit,52,tpr_at_5pct_fpr,0.04548702071921886
dp_eps_4,non_private,label_aware_audit,62,mia_auc,0.0016437437152378997
dp_eps_4,non_private,label_aware_audit,62,mia_advantage,0.0012701436850043324
dp_eps_4,non_private,label_aware_audit,62,mia_balanced_accuracy,0.0005159958720329927
dp_eps_4,non_private,label_aware_audit,62,tpr_at_1pct_fpr,0.010796221322537112
dp_eps_4,non_private,label_aware_audit,62,tpr_at_5pct_fpr,0.05120266730173851
dp_eps_4,non_private,label_aware_audit,72,mia_auc,0.004469859417632005
dp_eps_4,non_private,label_aware_audit,72,mia_advantage,0.008970389775343368
dp_eps_4,non_private,label_aware_audit,72,mia_balanced_accuracy,0.002222751448757554
dp_eps_4,non_private,label_aware_audit,72,tpr_at_1pct_fpr,0.012145748987854251
dp_eps_4,non_private,label_aware_audit,72,tpr_at_5pct_fpr,0.05199650710486624
dp_eps_4,non_private,label_aware_audit,82,mia_auc,-0.0015506438316822968
dp_eps_4,non_private,label_aware_audit,82,mia_advantage,-0.0037310470747004
dp_eps_4,non_private,label_aware_audit,82,mia_balanced_accuracy,-0.006311026434865474
