comparison_condition,reference_condition,threat_model,metric,analysis_role,n_seeds,mean,standard_deviation,ci_method,ci_low,ci_high
dp_eps_2,non_private,label_aware_audit,mia_advantage,secondary,5,0.003445264745574328,0.002225301613792786,"two-sided t interval, df=4",0.0006821878465830835,0.006208341644565572
dp_eps_2,non_private,label_aware_audit,mia_auc,secondary,5,0.000580590119600155,0.0014812312988816394,"two-sided t interval, df=4",-0.0012586014572337797,0.00241978169643409
dp_eps_2,non_private,label_aware_audit,mia_balanced_accuracy,secondary,5,-0.00013495276653174848,0.002592710450383871,"two-sided t interval, df=4",-0.003354227990540074,0.003084322457476577
dp_eps_2,non_private,label_aware_audit,tpr_at_1pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_2,non_private,label_aware_audit,tpr_at_5pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_2,non_private,score_only_black_box,mia_advantage,secondary,5,0.002032229896006976,0.0020259252147903956,"two-sided t interval, df=4",-0.00048328850625149094,0.004547748298265443
dp_eps_2,non_private,score_only_black_box,mia_auc,secondary,5,0.0009717388177687969,0.0013943804716470313,"two-sided t interval, df=4",-0.0007596132136737097,0.0027030908492113037
dp_eps_2,non_private,score_only_black_box,mia_balanced_accuracy,secondary,5,0.000865285385409198,0.001303626602548973,"two-sided t interval, df=4",-0.0007533808340765521,0.0024839516048949482
dp_eps_2,non_private,score_only_black_box,tpr_at_1pct_fpr,secondary,5,-0.0002857823291259824,0.0006390287146939147,"two-sided t interval, df=4",-0.0010792412779798426,0.0005076766197278777
dp_eps_2,non_private,score_only_black_box,tpr_at_5pct_fpr,secondary,5,-0.005509248233706438,0.012319053555488244,"two-sided t interval, df=4",-0.020805373525500298,0.00978687705808742
dp_eps_4,non_private,label_aware_audit,mia_advantage,secondary,5,0.002508533777883637,0.005659303944433249,"two-sided t interval, df=4",-0.004518420184811697,0.009535487740578972
dp_eps_4,non_private,label_aware_audit,mia_auc,secondary,5,0.0010949771379240914,0.002515101765572693,"two-sided t interval, df=4",-0.002027934176206251,0.004217888452054433
dp_eps_4,non_private,label_aware_audit,mia_balanced_accuracy,secondary,5,-0.0008414701913154298,0.0032820259982790354,"two-sided t interval, df=4",-0.004916643714547285,0.003233703331916425
dp_eps_4,non_private,label_aware_audit,tpr_at_1pct_fpr,secondary,5,0.010431055013098356,0.0013385090148011424,"two-sided t interval, df=4",0.008769076558148585,0.012093033468048126
dp_eps_4,non_private,label_aware_audit,tpr_at_5pct_fpr,secondary,5,0.04921806779391919,0.002802153305504929,"two-sided t interval, df=4",0.04573873491702604,0.05269740067081234
dp_eps_4,non_private,score_only_black_box,mia_advantage,secondary,5,0.00046042708581409684,0.004044456038647998,"two-sided t interval, df=4",-0.004561428369692944,0.005482282541321137
dp_eps_4,non_private,score_only_black_box,mia_auc,secondary,5,2.228448290717555e-05,0.002032198231298632,"two-sided t interval, df=4",-0.0025010228981097063,0.0025455918639240576
dp_eps_4,non_private,score_only_black_box,mia_balanced_accuracy,secondary,5,7.144558228147079e-05,0.001335268282125288,"two-sided t interval, df=4",-0.0015865089715768894,0.0017294001361398308
dp_eps_4,non_private,score_only_black_box,tpr_at_1pct_fpr,secondary,5,0.009637215209970627,0.0007113619692695037,"two-sided t interval, df=4",0.00875394266303735,0.010520487756903904
dp_eps_4,non_private,score_only_black_box,tpr_at_5pct_fpr,secondary,5,0.04443915217909026,0.012173527557227224,"two-sided t interval, df=4",0.029323721280139773,0.05955458307804075
