condition,threat_model,metric,analysis_role,n_seeds,mean,standard_deviation,ci_method,ci_low,ci_high
dp_eps_2,label_aware_audit,mia_auc,secondary,5,0.501462557673199,0.0006045173786092415,"two-sided t interval, df=4",0.5007119502078914,0.5022131651385067
dp_eps_2,label_aware_audit,mia_advantage,secondary,5,0.011304278796538858,0.0007179753309260794,"two-sided t interval, df=4",0.01041279467652951,0.012195762916548206
dp_eps_2,label_aware_audit,mia_balanced_accuracy,secondary,5,0.5008811621814718,0.001528373569594001,"two-sided t interval, df=4",0.49898343574430076,0.5027788886186428
dp_eps_2,label_aware_audit,tpr_at_1pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_2,label_aware_audit,tpr_at_5pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_2,score_only_black_box,mia_auc,secondary,5,0.503268307222293,0.00027289196870549287,"two-sided t interval, df=4",0.5029294670893524,0.5036071473552336
dp_eps_2,score_only_black_box,mia_advantage,secondary,5,0.011447169961101854,0.0007765847170847336,"two-sided t interval, df=4",0.010482912676342482,0.012411427245861226
dp_eps_2,score_only_black_box,mia_balanced_accuracy,secondary,5,0.5012622052869731,0.0004632244013938366,"two-sided t interval, df=4",0.5006870362246728,0.5018373743492733
dp_eps_2,score_only_black_box,tpr_at_1pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_2,score_only_black_box,tpr_at_5pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
dp_eps_4,label_aware_audit,mia_auc,secondary,5,0.501976944691523,0.003105480736578934,"two-sided t interval, df=4",0.4981209810637976,0.5058329083192483
dp_eps_4,label_aware_audit,mia_advantage,secondary,5,0.010367547828848167,0.0035384246049672435,"two-sided t interval, df=4",0.0059740133865019565,0.014761082271194378
dp_eps_4,label_aware_audit,mia_balanced_accuracy,secondary,5,0.500174644756688,0.0016831931192510226,"two-sided t interval, df=4",0.49808468445848975,0.5022646050548863
dp_eps_4,label_aware_audit,tpr_at_1pct_fpr,secondary,5,0.010431055013098356,0.0013385090148011424,"two-sided t interval, df=4",0.008769076558148585,0.012093033468048126
dp_eps_4,label_aware_audit,tpr_at_5pct_fpr,secondary,5,0.04921806779391919,0.002802153305504929,"two-sided t interval, df=4",0.04573873491702604,0.05269740067081234
dp_eps_4,score_only_black_box,mia_auc,secondary,5,0.5023188528874314,0.0020504911891733924,"two-sided t interval, df=4",0.49977283179920073,0.504864873975662
dp_eps_4,score_only_black_box,mia_advantage,secondary,5,0.009875367150908976,0.00328058560761401,"two-sided t interval, df=4",0.005801982108909231,0.01394875219290872
dp_eps_4,score_only_black_box,mia_balanced_accuracy,secondary,5,0.5004683654838453,0.0002881430723645614,"two-sided t interval, df=4",0.5001105886045584,0.5008261423631323
dp_eps_4,score_only_black_box,tpr_at_1pct_fpr,secondary,5,0.00992299753909661,0.001030463998233482,"two-sided t interval, df=4",0.008643507491044986,0.011202487587148235
dp_eps_4,score_only_black_box,tpr_at_5pct_fpr,secondary,5,0.0499484004127967,0.0007684270883753301,"two-sided t interval, df=4",0.048994272161916506,0.05090252866367689
non_private,label_aware_audit,mia_auc,secondary,5,0.5008819675535988,0.0012805452494967667,"two-sided t interval, df=4",0.4992919606192278,0.5024719744879698
non_private,label_aware_audit,mia_advantage,secondary,5,0.00785901405096453,0.0027573794447818497,"two-sided t interval, df=4",0.004435275264991817,0.011282752836937244
non_private,label_aware_audit,mia_balanced_accuracy,secondary,5,0.5010161149480036,0.001657966309451521,"two-sided t interval, df=4",0.4989574778713229,0.5030747520246843
non_private,label_aware_audit,tpr_at_1pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,label_aware_audit,tpr_at_5pct_fpr,secondary,5,0.0,0.0,"two-sided t interval, df=4",0.0,0.0
non_private,score_only_black_box,mia_auc,secondary,5,0.5022965684045243,0.0016007857913388564,"two-sided t interval, df=4",0.5003089303185827,0.5042842064904659
non_private,score_only_black_box,mia_advantage,secondary,5,0.00941494006509488,0.002482955278681281,"two-sided t interval, df=4",0.006331943886406333,0.012497936243783425
non_private,score_only_black_box,mia_balanced_accuracy,secondary,5,0.5003969199015639,0.0011078261282013943,"two-sided t interval, df=4",0.4990213720819067,0.501772467721221
non_private,score_only_black_box,tpr_at_1pct_fpr,secondary,5,0.0002857823291259824,0.0006390287146939147,"two-sided t interval, df=4",-0.0005076766197278777,0.0010792412779798426
non_private,score_only_black_box,tpr_at_5pct_fpr,secondary,5,0.005509248233706438,0.012319053555488244,"two-sided t interval, df=4",-0.00978687705808742,0.020805373525500298
