analysis_role,condition,threat_model,attack_model,metric,accepted_experiment_05_value,recomputed_value,absolute_difference,verification_atol,verification_policy,verification_passed
primary,non_private,score_only_black_box,logistic_regression,mia_auc,0.501777124808777,0.5017771153560524,9.452724603065121e-09,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,non_private,score_only_black_box,logistic_regression,mia_advantage,0.0089703897753433,0.008970389775343368,6.765421556309548e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,non_private,label_aware_audit,loss_threshold,mia_auc,0.5014386384991358,0.5014386384991358,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,non_private,label_aware_audit,loss_threshold,mia_advantage,0.0056362626022068,0.005636262602206843,4.336808689942018e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,dp_eps_4,score_only_black_box,logistic_regression,mia_auc,0.5028840672053674,0.5028840672053674,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,dp_eps_4,score_only_black_box,logistic_regression,mia_advantage,0.0128602048106692,0.01286020481066924,3.9898639947466563e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,dp_eps_4,label_aware_audit,loss_threshold,mia_auc,0.50166603008869,0.50166603008869,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,dp_eps_4,label_aware_audit,loss_threshold,mia_advantage,0.012225132968167,0.012225132968167018,1.9081958235744878e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,dp_eps_2,score_only_black_box,logistic_regression,mia_auc,0.5029159922068966,0.5029159922068966,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,dp_eps_2,score_only_black_box,logistic_regression,mia_advantage,0.0117488290862903,0.01174882908629038,7.979727989493313e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,dp_eps_2,label_aware_audit,loss_threshold,mia_auc,0.5016083243565534,0.5016083243565534,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
primary,dp_eps_2,label_aware_audit,loss_threshold,mia_advantage,0.0111931412241009,0.011193141224100978,7.806255641895632e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,non_private,score_only_black_box,logistic_regression,mia_auc,0.501777124808777,0.5017771153560524,9.452724603065121e-09,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,non_private,score_only_black_box,logistic_regression,mia_advantage,0.0089703897753433,0.008970389775343368,6.765421556309548e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,non_private,label_aware_audit,loss_threshold,mia_auc,0.5014386384991358,0.5014386384991358,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,non_private,label_aware_audit,loss_threshold,mia_advantage,0.0056362626022068,0.005636262602206843,4.336808689942018e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,dp_eps_4,score_only_black_box,random_forest,mia_auc,0.5030609465861262,0.5030609465861262,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,dp_eps_4,score_only_black_box,random_forest,mia_advantage,0.0125426688894181,0.01254266888941813,2.949029909160572e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,dp_eps_4,label_aware_audit,random_forest,mia_auc,0.5035969507250079,0.5035969507250079,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,dp_eps_4,label_aware_audit,random_forest,mia_advantage,0.0134158926728586,0.013415892672858698,9.8879238130678e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,dp_eps_2,score_only_black_box,logistic_regression,mia_auc,0.5029159922068966,0.5029159922068966,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,dp_eps_2,score_only_black_box,logistic_regression,mia_advantage,0.0117488290862903,0.01174882908629038,7.979727989493313e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,dp_eps_2,label_aware_audit,loss_threshold,mia_auc,0.5016083243565534,0.5016083243565534,0.0,1e-08,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
secondary,dp_eps_2,label_aware_audit,loss_threshold,mia_advantage,0.0111931412241009,0.011193141224100978,7.806255641895632e-17,1e-10,auc_absolute_1e-8_advantage_absolute_1e-10_v1,True
